150372.855359	t e
87521.375992	i
60575.789474	a
51954.150057	k i
50609.904185	N a
44673.238867	e
42793.802536	o
38283.08465	k o
37464.723481	n e i
31221.959008	k a
22415.888322	r a
22575.810753	f a k a
21568.537774	n a
20609.983282	h e
20662.264365	m a
18973.729376	m a i
18095.081946	t a
17416.714578	a n a
16837.710894	t o u
14539.544079	m o
13779.643708	a t u
13055.043517	k e i
12816.145689	w a
12618.50401	t a h i
12487.678528	m e
12058.223735	a u
11419.465878	k u a
11307.48918	r a t o u
11097.923489	m e a
11006.574603	k i a
10190.08205	t a u
9921.566148	h a e r e
9858.574792	r e r o
9681.417913	a n o
9437.214247	m a h i
9401.819446	k a u
9041.73921	r o t o
8912.898576	h o k i
8914.802738	t u
6687.537876	n u i
6659.489201	r e i r a
6566.654114	a e
6468.736402	m a o r i
6500.413913	h i a
6410.510033	h e i
6324.137995	i a
6183.265792	a i
6111.151636	e N a r i
5799.36551	t o n u
5801.548842	t o
5823.033594	p a
5575.269913	n o
5485.900212	a k e
5508.268176	w a i
5450.760765	t a N a
5293.170951	k o e
5254.825332	r a N a
5162.737113	i w i
5057.338006	k a i
4870.025751	r e o
4857.395247	r u a
4809.489224	k a t o a
4803.392058	p a p a
4673.934928	k e
4662.836168	t a k u
4636.034714	r u N a
4633.434845	k o i
4622.988051	a h a
4529.489229	k o u t o u
4489.879334	a h u a
4426.190792	p a i
4333.534195	t i
4033.261436	t a u a
3997.371962	h i o
3984.34784	t a e
3918.094446	n o h o
3842.282647	a r o
3697.190288	f a r e
3672.782476	t u a
3730.917952	p u
3531.489253	k a o r e
3450.834904	p e
3428.163065	t i n o
3338.621104	t a m a
3285.007856	k u r a
3245.040368	n o a
3234.016812	k o r e
3174.529185	r o N o
3116.641838	n e
2961.014851	m a t a
2865.979984	k i t e
2852.809467	f e n u a
2828.647278	o r a
3317.852422	t i a
2793.475285	f a i
2781.917444	f a
2756.958486	r a N i
2729.055504	t a n a
2728.834272	t a i
2662.207312	h i
2643.150748	r e
2633.510716	p e a
2566.043185	t a N a t a
2571.602013	r i k i
2544.59762	h a N a
2489.240324	h i n e
2444.31733	p u t a
2478.124479	r a u
2431.619359	m a u
2409.495113	a k o
2396.35793	m a t u a
2376.522029	h u i
2360.890857	h a r a
2351.316521	r e r e
2244.929549	e r a
2220.8774	h e a
2215.467408	a t a
2211.39501	f a n a u
2202.126585	m a n a
2206.229997	a r a
2171.963095	t i k a
2090.521467	i h o
2054.49355	h u a
2008.489338	a h a u
1995.393415	k a i N a
1945.115574	k o a
1987.246608	h a u
1928.901687	p u n a
1858.827683	r o
1835.542151	m u t u
1833.036126	t a h a
1823.163166	m a r a e
1843.306664	p o
1781.889919	r a m a
1757.911948	t o n a
1757.703091	r a w a
1739.489368	h e o i
1741.302911	m u a
1736.23173	a o
1676.165727	t a k e
1662.780914	t o h u
1642.296467	m u r i
1641.602767	t o r u
1639.913892	t i r a
1627.169112	w a k a
1583.068407	o t i
1591.992669	h u r i
1575.10691	k a h a
1542.849143	t o k o
1537.336338	m a t e
1463.438735	m i h i
1460.885895	t u k u
1434.032573	t a k i
1425.157119	r o a
1407.541328	p e r a
1398.059995	t i t i r o
1389.16597	n a i a
1386.658562	N a t a
1418.200104	h a
1353.599114	k o t a h i
1354.173953	t a o N a
1340.82634	t i k a N a
1329.642582	t i r o
1325.082122	p u k a
1296.316575	k a w a n a
1283.117624	t a e a
1274.726881	r a r o
1266.489453	t o k u
1267.688121	h o a
1261.039564	m a u a
1260.855711	k u p u
1253.126626	N a i
1246.74201	i N o a
1219.362159	r a h i
1190.260285	n a N a
1164.578361	t e a
1152.723787	m o t u
1209.982502	N i a
1128.278126	u r u
1099.825738	a u a
1098.208252	a k u
1087.836446	r i t e
1080.639552	t a N i
1065.714018	r o h e
1058.325757	f i r i
1038.081166	m a h a
1041.030777	r a u a
1034.317699	w i k i
992.950924	t o n o
989.227577	h u N a
973.095138	r i m a
976.185615	t a r i
959.489552	a n e i
954.260732	r a r u
949.682071	a f i
944.900505	i t i
906.048076	w a e N a
902.821358	m o a n a
900.199019	u t u
895.206737	h e k e
895.970725	m o e
892.384936	h o u
881.780888	t u h i
880.018339	o n a
878.481811	h e r e
868.366398	k u i a
875.337773	h o
883.155625	k u
854.851954	k a r a
831.897661	f i
848.617576	r i a
822.533734	m o k o
818.352359	m o m o
812.536975	t a n e
833.068064	p i
790.42859	t u r e
