item,item.bestsplit,length,logprob,ppl,ppl1
anE,a + ne,3,-3.8688066,9.272602654817488,19.48059421525456
Aea,aea,3,-4.1208096,10.720187959310211,23.63759024872269
OrA,ora,3,-3.6414176000000005,8.134940859664198,16.36085014005264
irE,ire,3,-4.0875686,10.517006685656332,23.042142953802212
Eku,e + ku,3,-4.8308806,16.133186340687086,40.76557132886902
atU,atu,3,-3.0632306,5.831867523451535,10.497282057487396
hiA,hia,3,-1.9305435999999998,3.0383367035190947,4.400626739510606
Imo,i + mo,3,-4.9196266,16.978786604690967,43.63907468706793
omO,omo,3,-4.2565746,11.59160704105878,26.233618586631227
wAi,wai,3,-2.3191395999999997,3.8000114043897857,5.929888581294868
IwE,iwe,3,-4.9970966,17.753097981352376,46.31256839191619
atE,ate,3,-3.6025676000000004,7.955031432463348,15.88019630345502
ikU,i + ku,3,-4.6038946,14.157078819410154,34.24770968262236
epA,e + pa,3,-4.4082646,12.64929001729378,29.472809250483035
ANU,a + Nu,3,-4.6646786,14.661204449597681,35.883340540400475
awi,a + wi,3,-4.4566996,13.006932905469439,30.589088313550267
peu,peu,3,-4.7216946,15.150384329351281,37.48851176885291
ANA,aNa,3,-3.0982985999999997,5.950790349001152,10.78366033628942
Oru,oru,3,-3.9665416000000002,9.809240893782718,20.99812580375196
AhE,a + he,3,-3.8862526000000006,9.366194021799643,19.74319947074305
NOu,Nou,3,-4.907424600000001,16.85994486223123,43.23228596072324
Ure,ure,3,-3.7060866,8.44348332440956,17.19341714043342
OhI,ohi,3,-3.5997866,7.942306631218032,15.846336231868335
aiE,ai + e,3,-5.3616076,21.897871352029284,61.2636028071459
upU,upu,3,-3.9973656,9.984846667363776,21.50082874355088
OfI,o + fi,3,-5.0775796,18.594945079481466,49.26364401804958
enu,enu,3,-4.6325346000000005,14.392414229835111,35.0088786224453
Opu,o + pu,3,-4.3241776000000005,12.051591432515014,27.630741087180322
iao,iao,3,-4.8497996,16.309847487684095,41.36184155870958
Uni,uni,3,-3.8115606,8.972018284890915,18.643188898441732
Ihe,ihe,3,-4.4007856,12.594948615038188,29.30410982762533
Ine,ine,3,-3.4907236,7.4590050296620936,14.57385798861538
nia,nia,3,-3.8169606,8.999951104844463,18.720618799560516
Ahe,a + he,3,-3.8862526000000006,9.366194021799643,19.74319947074305
une,une,3,-4.5710256000000005,13.891732118725193,33.39451957988405
uaA,ua + a,3,-4.8082406,15.924292640172599,40.063313611481064
huI,hui,3,-2.9927836,5.600101519053875,9.944765191374552
Ane,a + ne,3,-3.8688066,9.272602654817488,19.48059421525456
mIi,mi + i,3,-5.0788636,18.60869423837592,49.31221758634257
Ihu,ihu,3,-4.4256446,12.776477956540884,29.868599987732008
OhE,ohe,3,-3.7677006000000004,8.74832986085831,18.026034586051114
Oni,oni,3,-4.3964496,12.563550795886476,29.206747763048785
ihU,ihu,3,-4.4256446,12.776477956540884,29.868599987732008
EhE,ehe,3,-4.1837296,11.115586944220153,24.807130616256664
kAu,kau,3,-2.6245586000000003,4.530432352584769,7.496401979382602
Apa,a + pa,3,-3.3343656,6.816970270496494,12.925733574748374
otU,otu,3,-3.9413316,9.667916704113047,20.595730483569408
IwA,iwa,3,-3.6679866,8.260315778258125,16.697913232666785
Awa,awa,3,-3.2434025999999996,6.469201074346899,12.054083623531152
etA,e + ta,3,-4.2444716,11.511128446396858,25.99105251093365
reU,reu,3,-4.2481036,11.53522048311072,26.063607889837083
oau,o + au,3,-5.0270606,18.061971389016662,47.39001723731338
ImO,i + mo,3,-4.9196266,16.978786604690967,43.63907468706793
epo,e + po,3,-4.8008496,15.856685042818096,39.836685775448984
ONU,o + Nu,3,-5.5292106,24.115854225707945,69.67391269482155
One,one,3,-3.8810056,9.33794690006087,19.66384912470679
iAu,i + au,3,-4.9068176,16.85405473514001,43.21214917437033
kaO,kao,3,-3.4393926000000006,7.241827070962684,14.010840852508375
Iwe,iwe,3,-4.9970966,17.753097981352376,46.31256839191619
Aeo,ae + o,3,-5.513387600000001,23.89719349164546,68.83286821566509
Ofa,o + fa,3,-4.6960466,14.928344544997973,36.757745513429555
UkE,uke,3,-4.1690546,11.02208231258704,24.52928372650235
ApU,a + pu,3,-3.5280076000000005,7.620823440610648,14.996935835128195
