item,item.bestsplit,length,logprob,ppl,ppl1
anE,ane,3,-3.9093741,9.491689548578911,20.096697709994224
Aea,aea,3,-4.1690361000000005,11.02196493403083,24.52893543093633
OrA,ora,3,-3.6054291000000003,7.968145852343359,15.915112027696095
irE,ire,3,-4.1647241,10.994640285399942,24.447889088971632
Eku,eku,3,-4.6793011,14.785134341825211,36.28833426451765
atU,atu,3,-3.1773771,6.2279379217752915,11.458445409080237
hiA,hia,3,-1.8802641000000002,2.9516579277429127,4.23403749846546
Imo,i + mo,3,-5.0559211,18.364549324424157,48.45147841299611
omO,omo,3,-4.3189231,12.015193656608965,27.51953132602709
wAi,wai,3,-2.2716701,3.697579539672071,5.717726355952478
IwE,i + we,3,-5.2573101,20.621845320753028,56.55053266242782
atE,ate,3,-3.6092451,7.9856684474442465,15.96179394180836
ikU,iku,3,-4.6341561,14.405854531102825,35.05247594964645
epA,e + pa,3,-4.5170191,13.466501227102015,32.03856333542348
ANU,a + Nu,3,-4.6541711,14.572792295780863,35.595112236387344
awi,a + wi,3,-4.5226761,13.510425437990099,32.17797426419517
peu,peu,3,-4.8331621,16.154388570579837,40.837019109990564
ANA,aNa,3,-2.9647011,5.510300393254223,9.73270813671988
Oru,oru,3,-3.7976441000000003,8.900430739727893,18.445114974258523
AhE,a + he,3,-3.7372571,8.596353672557468,17.609716596460515
NOu,Nou,3,-4.8096521,15.937236779511117,40.106740374061154
Ure,ure,3,-3.7317581000000004,8.569185120188552,17.535548976507293
OhI,ohi,3,-3.6779131000000005,8.307651597476152,16.825618334571352
aiE,aie,3,-5.1738481,19.654501127937962,53.04152882653279
upU,upu,3,-4.0104791,10.060504855503101,21.718326945522865
OfI,o + fi,3,-5.1698421,19.60922930174858,52.87869151755896
enu,enu,3,-4.5371691,13.623612268560734,32.53791347932004
Opu,o + pu,3,-4.2334321,11.438208927529619,25.77175733055835
iao,iao,3,-4.8601241,16.407069773500464,41.69090922827788
Uni,uni,3,-3.9842011,9.909466526809544,21.284675494983066
Ihe,ihe,3,-4.4432521000000005,12.906634899893074,30.274991740547406
Ine,ine,3,-3.5792511000000005,7.848971913117688,15.59853098688654
nia,nia,3,-3.8480311,9.162368929969464,19.17242437273287
Ahe,a + he,3,-3.7372571,8.596353672557468,17.609716596460515
une,une,3,-4.4583151,13.019034414044421,30.627040535527918
uaA,ua + a,3,-4.8120271,15.959040431679677,40.17991681922244
huI,hui,3,-3.1406681,6.09771363677409,11.140107113859742
Ane,ane,3,-3.9093741,9.491689548578911,20.096697709994224
mIi,mi + i,3,-5.3390771,21.61569854501213,60.21329129653639
Ihu,ihu,3,-4.5947431,14.082695047673514,34.00799540923525
OhE,ohe,3,-3.6987170999999996,8.407740035729175,17.096440533190567
Oni,oni,3,-4.4163951,12.708631147064459,29.657306123353678
ihU,ihu,3,-4.5947431,14.082695047673514,34.00799540923525
EhE,ehe,3,-4.1513381,10.910245547746223,24.197994109242554
kAu,kau,3,-2.6969581000000002,4.723234684419558,7.924758444925102
Apa,a + pa,3,-3.2618001,6.538076909199368,12.225501970857932
otU,otu,3,-3.9387220999999997,9.653404955319731,20.554521292345758
IwA,iwa,3,-3.9301771,9.606037440216928,20.420154954878775
Awa,awa,3,-3.3483081,6.871903069548895,13.064798020552423
etA,e + ta,3,-4.2967691,11.862938392580581,27.055549983357736
reU,re + u,3,-4.7045631,15.001710317627607,36.99880522980921
oau,o + au,3,-5.1007111,18.844203041321805,50.146085097869836
ImO,i + mo,3,-5.0559211,18.364549324424157,48.45147841299611
epo,e + po,3,-4.8874841,16.667521538028712,42.575657806701315
ONU,o + Nu,3,-5.3296931,21.49924827509525,59.78116396232187
One,one,3,-4.0474221,10.276743689531099,22.342959587676066
iAu,ia + u,3,-5.0411871,18.20944775596117,47.90663866877741
kaO,kao,3,-3.5710501,7.812005223372831,15.500654397046672
Iwe,i + we,3,-5.2573101,20.621845320753028,56.55053266242782
Aeo,ae + o,3,-5.8265571000000005,28.61799971382319,87.53579895846497
Ofa,o + fa,3,-4.7094371,15.043859716936497,37.137474504953204
UkE,uke,3,-3.9076151,9.482083490559814,20.06958381937295
ApU,a + pu,3,-3.4999761000000005,7.498838923994404,14.677723426650775
aii,ai + i,3,-5.7308151,27.083436858206728,81.333919208992
owA,o + wa,3,-4.6547701,14.577818037571364,35.61148083353165
IkA,ika,3,-3.7444621,8.632081358964122,17.70736882807297
Aue,a + ue,3,-5.1253561,19.113447368587256,51.10366332877968
orE,ore,3,-3.3758691,6.981797927834239,13.344112662577912
upO,u + po,3,-4.5473811,13.703934525649744,32.79394772137545
Amo,a + mo,3,-3.8543671,9.195847806960407,19.265888092995905
uno,u + no,3,-5.0533181,18.33705235655967,48.35477498391938
OpO,o + po,3,-4.4550311,12.994446188653077,30.549940354564633
enI,eni,3,-4.8919931,16.71083976820007,42.72325828087612
nue,nu + e,3,-5.3240321,21.429301983442326,59.52197959882373
epE,e + pe,3,-5.1544101,19.435804636448346,52.256064607159814
feu,feu,3,-5.0897321,18.72548284523731,49.72529481332426
Owi,o + wi,3,-5.4824391,23.475225622421938,67.2170889444655
etI,eti,3,-4.2071011,11.266143404950094,25.25614331820341
Ire,ire,3,-4.1647241,10.994640285399942,24.447889088971632
tOA,toa,3,-3.3799301,6.998138365543761,13.385770251746708
AhU,ahu,3,-3.2639651,6.546230225226827,12.245833962287685
eme,eme,3,-4.5913601,14.055296933963564,33.91980654412433
erU,eru,3,-4.6193461000000005,14.283562024676648,34.65628714676347
IwI,iwi,3,-3.6715641000000003,8.277344390412221,16.743825914658856
unO,u + no,3,-5.0533181,18.33705235655967,48.35477498391938
fAo,fao,3,-3.3456501000000003,6.861396631807401,13.038171820794085
oeA,oea,3,-5.1692051,19.602040176794556,52.85284462104627
uii,ui + i,3,-5.9051021,29.94163590717372,92.9752525401051
aiO,aio,3,-4.9423951,17.20278553191094,44.4083905076576
inE,ine,3,-3.5792511000000005,7.848971913117688,15.59853098688654
