item,item.bestsplit,length,logprob,ppl,ppl1
anE,ane,3,-3.8974306,9.426655805026716,19.913313607057546
Aea,aea,3,-4.0353866,10.205790521603452,22.137514908143327
OrA,ora,3,-3.6252816,8.059728269723365,16.159473250689768
irE,ire,3,-4.1151326,10.685212167124394,23.534819219686767
Eku,e + ku,3,-4.690229599999999,14.878440070234412,36.593998561274006
atU,atu,3,-3.1325886,6.06941942097312,11.071238332451687
hiA,hia,3,-1.9174426,3.015509145871675,4.356598457089163
Imo,i + mo,3,-4.9457206,17.235748565906437,44.52188395488134
omO,omo,3,-4.3321436,12.10698209123941,27.80019656504094
wAi,wai,3,-2.2810205999999997,3.717535718807181,5.75890878737429
IwE,i + we,3,-5.209164599999999,20.05816271240068,54.49895814989367
atE,ate,3,-3.5902046,7.8986187166318365,15.730222536757953
ikU,i + ku,3,-4.6455136,14.50034715936762,35.359371202868985
epA,e + pa,3,-4.449925599999999,12.956312069282323,30.43046111705293
ANU,a + Nu,3,-4.7064356,15.01788934397555,37.05201802606352
awi,a + wi,3,-4.4915606,13.270587503980684,31.418602714095716
peu,peu,3,-4.7779926,15.64941652899727,39.14390961967977
ANA,aNa,3,-2.9877155999999996,5.583787729427099,9.906156846795193
Oru,oru,3,-3.8551686,9.20009157062883,19.27774361235924
AhE,a + he,3,-3.7606225999999996,8.712757969595891,17.928372485801884
NOu,Nou,3,-4.5809456,13.971286547112097,33.64975191185282
Ure,ure,3,-3.7353445999999995,8.586894952424755,17.583886291509188
OhI,ohi,3,-3.6181915999999994,8.026900877513867,16.071775846549034
aiE,ai + e,3,-5.4703805999999995,23.31283822572675,66.59784863107878
upU,upu,3,-4.0299486,10.173892629995002,22.045309480629413
OfI,o + fi,3,-5.1339346,19.208066472714993,51.441252383400496
enu,enu,3,-4.6913485999999995,14.888027077718615,36.625441338631155
Opu,opu,3,-4.1582916,10.954004121542521,24.327484246654127
iao,iao,3,-4.8951066,16.74081703878731,42.825476118808915
Uni,uni,3,-3.9399166,9.660045010638381,20.573374578239466
Ihe,ihe,3,-4.338282599999999,12.149842551628176,27.931496195097594
Ine,ine,3,-3.5331595999999994,7.643458290094184,15.056355715249211
nia,nia,3,-3.8009395999999995,8.917331258702653,18.491828912516592
Ahe,a + he,3,-3.7606225999999996,8.712757969595891,17.928372485801884
une,une,3,-4.3511446,12.240133371086168,28.20860005123634
uaA,ua + a,3,-4.7910656,15.767629262076591,39.53865272235307
huI,hui,3,-3.0502216000000004,5.788358217976994,10.392990572408639
Ane,ane,3,-3.8974306,9.426655805026716,19.913313607057546
mIi,mi + i,3,-5.2691576,20.762966344683317,57.06710831259116
Ihu,ihu,3,-4.5844426,13.999439563168185,33.740190733809534
OhE,ohe,3,-3.7152956,8.488362146929015,17.315373610150527
Oni,oni,3,-4.2859826,11.78950714525264,26.832483233907524
ihU,ihu,3,-4.5844426,13.999439563168185,33.740190733809534
EhE,ehe,3,-4.1217366,10.725910036494806,23.654414350125656
kAu,kau,3,-2.6819476,4.682598266345093,7.833981350454649
Apa,a + pa,3,-3.2857706,6.628918048700384,12.452509068171972
otU,otu,3,-3.8999236,9.440193579913428,19.951453178790537
IwA,iwa,3,-3.9203985999999995,9.55211736698978,20.267469742776886
Awa,awa,3,-3.3278856,6.791589058589535,12.861605959851202
etA,e + ta,3,-4.2496206,11.54529807616347,26.09397247875746
reU,re + u,3,-4.5933566,14.071459660437094,33.97182409584604
oau,o + au,3,-5.0942685999999995,18.77444683782152,49.898734714969095
ImO,i + mo,3,-4.9457206,17.235748565906437,44.52188395488134
epo,e + po,3,-4.8668466,16.470684566267785,41.90657812167506
ONU,o + Nu,3,-5.677781599999999,26.269112474150937,78.08972018872902
One,one,3,-3.9398415999999994,9.659627961972927,20.57219031368524
iAu,ia + u,3,-4.9840646,17.62041569791348,45.85163923361967
kaO,kao,3,-3.5794546,7.849891427070545,15.600967543264197
Iwe,i + we,3,-5.209164599999999,20.05816271240068,54.49895814989367
Aeo,ae + o,3,-5.702022599999999,26.6382475185144,79.55623097983528
Ofa,o + fa,3,-4.7069246,15.022117340123218,37.06592705024991
UkE,uke,3,-3.9457806,9.692708457708289,20.666179632467482
ApU,a + pu,3,-3.5210846,7.590513377448969,14.917459473626124
aii,ai + i,3,-5.5780046,24.80282505405014,72.33273166705243
owA,o + wa,3,-4.667042599999999,14.681169405399292,35.948507706053874
IkA,ika,3,-3.7957446,8.890703970673849,18.418243063183173
Aue,au + e,3,-5.1988156,19.93902417847398,54.067779419593506
orE,ore,3,-3.3467956,6.8659225480364725,13.049640070964658
upO,u + po,3,-4.545194599999999,13.686696910901814,32.73895904702708
Amo,a + mo,3,-3.8901566,9.387266555048763,19.802447322142804
uno,u + no,3,-4.9352186,17.131865257411746,44.164454100944056
OpO,o + po,3,-4.5051606,13.374887877764142,31.748279864279443
enI,eni,3,-4.8905686,16.6971423607211,42.67657258257098
nue,nu + e,3,-5.1730456,19.645423707422136,53.00886840653545
epE,e + pe,3,-5.113457599999999,18.98298042940788,50.63908696750079
feu,feu,3,-4.9689736,17.46800871805258,45.323614117427546
