item,item.bestsplit,length,logprob,ppl,ppl1
anE,a + ne,3,-3.8660598999999998,9.257953071145057,19.439569067054702
Aea,aea,3,-4.1233869,10.736104375012637,23.684395246455775
OrA,ora,3,-3.6594099,8.219633907071746,16.58835420039199
irE,ire,3,-4.0950749,10.562548716213195,23.175278758906572
Eku,e + ku,3,-4.8471299000000005,16.28480171762396,41.27717500390367
atU,atu,3,-3.0372189,5.7451943539041,10.2897849884497
hiA,hia,3,-1.9286449,3.035017677692107,4.394218349922507
Imo,i + mo,3,-4.9556269,17.334316623706243,44.86169034324906
omO,omo,3,-4.2253979,11.385430982907893,25.613325383054992
wAi,wai,3,-2.2861489,3.7285264216408334,5.781621188725629
IwE,iwe,3,-5.0593929,18.401288103413844,48.58075948003611
atE,ate,3,-3.6187989,8.029707492198703,16.07926896852667
ikU,i + ku,3,-4.5329379,13.590469961726185,32.432415855270534
epA,e + pa,3,-4.4553209,12.996614132749059,30.556736325028087
ANU,a + Nu,3,-4.622152900000001,14.306658972191627,34.73102761583419
awi,a + wi,3,-4.4512799,12.966416719261526,30.462108921178864
peu,peu,3,-4.7901299,15.759138595834951,39.51026719353633
ANA,aNa,3,-3.0747299000000003,5.870599794021539,10.590341546715075
Oru,oru,3,-4.0167639,10.096967886865393,21.82334407668622
AhE,a + he,3,-3.8791259,9.327848311057018,19.63550009081951
NOu,Nou,3,-5.0545699,18.350270688507873,48.40125619100902
Ure,ure,3,-3.7047579000000006,8.437027700737069,17.175891974535602
OhI,ohi,3,-3.6168249,8.020588311024822,16.05492569808815
aiE,ai + e,3,-5.3959809000000005,22.335476651877876,62.9013983098287
upU,upu,3,-4.0269569,10.156386627743817,21.994746792579438
OfI,o + fi,3,-5.0908689,18.737740711959848,49.768700371558616
enu,enu,3,-4.650206900000001,14.539575434042353,35.486973864815056
Opu,o + pu,3,-4.3492999,12.227142537243125,28.168688895756787
iao,iao,3,-4.9239949,17.02153511212157,43.785633074321396
Uni,uni,3,-3.9240679,9.572314852791026,20.32462930339396
Ihe,ihe,3,-4.3321779000000005,12.107221141931245,27.80092844884611
Ine,ine,3,-3.4864489,7.440673107243247,14.52612019381944
nia,nia,3,-3.8468089,9.155924967747056,19.154447668934665
Ahe,a + he,3,-3.8791259,9.327848311057018,19.63550009081951
une,une,3,-4.3169039,12.001235970274138,27.47691477344797
uaA,ua + a,3,-4.7758969,15.630548739399934,39.08099689261594
huI,hui,3,-3.0422749000000002,5.761939912564816,10.329793347439663
Ane,a + ne,3,-3.8660598999999998,9.257953071145057,19.439569067054702
mIi,mi + i,3,-5.1268939,19.13037463455727,51.16401685497063
Ihu,ihu,3,-4.4863419,13.230780819627961,31.293007196647654
OhE,ohe,3,-3.7725389,8.772729228374287,18.093099297486688
Oni,oni,3,-4.0900929,10.532300097724015,23.08682973285024
ihU,ihu,3,-4.4863419,13.230780819627961,31.293007196647654
EhE,ehe,3,-4.1952889,11.189797442266268,25.02820095508239
kAu,kau,3,-2.6415599000000003,4.57498816572659,7.594863392109494
Apa,a + pa,3,-3.3003489000000004,6.684781632365487,12.592625853878067
otU,otu,3,-3.9248049,9.576376781422058,20.336129556382534
IwA,iwa,3,-3.7089138999999998,8.457236490917955,17.2307679336249
Awa,awa,3,-3.2359299000000004,6.441432720036803,11.985145203368004
etA,e + ta,3,-4.277913900000001,11.734875193188762,26.666824331441262
reU,reu,3,-4.2587799,11.606331614297096,26.27806000521389
oau,o + au,3,-5.0415359,18.21310431465836,47.91946565844398
ImO,i + mo,3,-4.9556269,17.334316623706243,44.86169034324906
epo,e + po,3,-4.8271359,16.098446735800984,40.648572630323066
ONU,o + Nu,3,-5.5108679,23.862556791576356,68.69987813350991
One,one,3,-3.8938129000000004,9.407045074897692,19.85809725554583
iAu,i + au,3,-4.9423089000000004,17.201931938678435,44.4054525037671
kaO,kao,3,-3.4701889,7.371353267666242,14.345960586335183
Iwe,iwe,3,-5.0593929,18.401288103413844,48.58075948003611
Aeo,ae + o,3,-5.5852529,24.906529973849448,72.73626003484982
Ofa,o + fa,3,-4.6629019000000005,14.646217357326423,35.83444093889431
UkE,uke,3,-4.0903929,10.534119118576378,23.09214628391606
ApU,a + pu,3,-3.5176399,7.5754768436069275,14.878071220926431
aii,ai + i,3,-5.4361449,22.857894557397717,64.8706575347497
owA,o + wa,3,-4.5938559,14.075504663245008,33.984845508018296
IkA,ika,3,-3.7027769,8.427411975471639,17.149796326590952
Aue,au + e,3,-5.2296899,20.296561778392146,55.364319554883416
orE,ore,3,-3.4715379000000004,7.377079691755053,14.360822025557297
upO,u + po,3,-4.5391809,13.639398711183352,32.5881945226771
Amo,a + mo,3,-3.8898519,9.385620178335682,19.79781674661186
uno,u + no,3,-4.9010269,16.7979670486097,43.02051780307973
OpO,o + po,3,-4.5557499,13.770112075129362,33.00527077112628
enI,eni,3,-4.9232539,17.01427605843049,43.76073757844312
nue,nu + e,3,-5.3376279,21.597673674216583,60.14635316045908
epE,e + pe,3,-5.1196409,19.050668721657065,50.87998406993277
feu,feu,3,-4.8544839,16.35388633748021,41.510818808388485
Owi,o + wi,3,-5.4969979,23.672791607093103,67.97240451943269
etI,e + ti,3,-4.3822229,12.461081170826521,28.88956261143348
Ire,ire,3,-4.0950749,10.562548716213195,23.175278758906572
tOA,toa,3,-3.3681089,6.950678885549004,13.264869039508527
AhU,ahu,3,-3.3404109,6.840734341250204,12.985847547661361
eme,eme,3,-4.8248219,16.077017148412242,40.57644237341838
erU,eru,3,-4.5440349,13.677563036191097,32.709830978422346
IwI,iwi,3,-3.6391029,8.124108688755454,16.331809292564017
unO,u + no,3,-4.9010269,16.7979670486097,43.02051780307973
fAo,fao,3,-3.4619239000000004,7.3363657553069235,14.255243278504148
oeA,oe + a,3,-5.4637159,23.2235696447186,66.25804741458191
uii,ui + i,3,-5.7113999,26.782429784742412,80.13089004885789
aiO,aio,3,-4.7929219000000005,15.784487117317246,39.59502607777147
inE,ine,3,-3.4864489,7.440673107243247,14.52612019381944
Ira,ira,3,-3.7095139,8.460158021420144,17.238704822897894
upi,u + pi,3,-4.8569979000000005,16.377570401896875,41.590994012586236
epi,e + pi,3,-5.0280399000000005,18.072156341803364,47.42565088502239
OmO,omo,3,-4.2253979,11.385430982907893,25.613325383054992
Noa,Noa,3,-3.8005249,8.915202762908962,18.485944010704284
Oua,oua,3,-4.8130559,15.968494571790897,40.21165674456165
ahO,a + ho,3,-3.6951259,8.39037699667481,17.04938168095665
nOi,noi,3,-4.2966739,11.862288303276266,27.053573141708483
eNu,eNu,3,-5.2637729,20.698707384152367,56.83174180024922
tAe,tae,3,-3.0039399,5.636181563627075,10.030285618575613
ome,o + me,3,-5.252674900000001,20.566894721985435,56.34970325466831
paI,pai,3,-2.6312079,4.547806468019866,7.5347578562996596
nAi,nai,3,-3.6163939000000003,8.018598621476457,16.049615531169852
UpA,u + pa,3,-4.3119029,11.96673641061753,27.37164928213793
eNU,eNu,3,-5.2637729,20.698707384152367,56.83174180024922
kEa,kea,3,-3.5122649,7.552073794753887,14.816818693908328
puA,pua,3,-2.6887989,4.701102549943986,7.875285371712686
eaa,ea + a,3,-5.2059559,20.021147952564103,54.364904984112094
opo,o + po,3,-4.5557499,13.770112075129362,33.00527077112628
AwE,awe,3,-3.8377099,9.108093389743187,19.021143996258363
awE,awe,3,-3.8377099,9.108093389743187,19.021143996258363
