item,item.bestsplit,length,logprob,ppl,ppl1
anE,ane,3,-3.868955,9.273394809143833,19.48281320486331
Aea,aea,3,-4.1113669999999995,10.662075413726535,23.46689697388738
OrA,ora,3,-3.5983890000000005,7.935919430691704,15.829347018132102
irE,ire,3,-4.095618999999999,10.565857521130932,23.184959058826358
Eku,e + ku,3,-4.900068999999999,16.788707008589384,42.98890007934945
atU,atu,3,-3.063561,5.8329768124010695,10.499944415203375
hiA,hia,3,-1.914332,3.0101143906003185,4.346209599217676
Imo,i + mo,3,-4.938168999999999,17.16098651319534,44.26457852390112
omO,omo,3,-4.2855609999999995,11.786646267828349,26.823801916443372
wAi,wai,3,-2.286249,3.728741273696064,5.782065405371143
IwE,iwe,3,-5.103229,18.87153600509317,50.24308910228819
atE,ate,3,-3.620531,8.037717720875783,16.10065954116222
ikU,i + ku,3,-4.6109469999999995,14.21466895915548,34.43359232362733
epA,e + pa,3,-4.508506,13.400669612876703,31.829904333935094
ANU,a + Nu,3,-4.668939,14.697204937132911,36.00087032408253
awi,a + wi,3,-4.4770319999999995,13.160063959297226,31.07019650638305
peu,pe + u,3,-4.842937,16.245543672491593,41.14455156770074
ANA,aNa,3,-3.0626290000000003,5.8298482460864145,10.492436108194816
Oru,oru,3,-3.9198290000000005,9.548985854631546,20.258611062694992
AhE,a + he,3,-3.866394,9.259733763569843,19.444554618791905
NOu,Nou,3,-4.9217509999999995,16.999562713789796,43.710287866307674
Ure,ure,3,-3.728684,8.55403454896267,17.49422334086499
OhI,ohi,3,-3.634724,8.103656056849017,16.277011363084043
aiE,ai + e,3,-5.38223,22.159374640045577,62.24101504838194
upU,upu,3,-4.0386299999999995,10.224863053409965,22.192692722263935
OfI,o + fi,3,-5.105734,18.898768274834396,50.33978233150788
enu,enu,3,-4.657074,14.597164424367286,35.67450863117255
Opu,opu,3,-4.1649199999999995,10.995880211055283,24.45156532076825
iao,iao,3,-4.923279,17.014521894742085,43.76158063550793
Uni,uni,3,-3.97639,9.865009322509012,21.157450493230286
Ihe,ihe,3,-4.2707239999999995,11.686406803059448,26.520070037104496
Ine,ine,3,-3.485891,7.438283896009089,14.519901381521743
nia,nia,3,-3.8497350000000004,9.171360190463655,19.197514310524138
Ahe,a + he,3,-3.866394,9.259733763569843,19.444554618791905
une,une,3,-4.3992569999999995,12.58387078005302,29.2697491214494
uaA,ua + a,3,-4.7821419999999994,15.68684119457435,39.26877317214764
huI,hui,3,-3.024521,5.703352968665504,10.189987861487468
Ane,ane,3,-3.868955,9.273394809143833,19.48281320486331
mIi,mi + i,3,-5.188044,19.815772154212084,53.62261632257107
Ihu,ihu,3,-4.510599999999999,13.416832563679138,31.881102628110966
OhE,ohe,3,-3.742518,8.622426480020637,17.68096644723446
Oni,oni,3,-4.2025689999999996,11.236789622787452,25.168442060767887
ihU,ihu,3,-4.510599999999999,13.416832563679138,31.881102628110966
EhE,ehe,3,-4.17564,11.063944791496427,24.653580395134327
kAu,kau,3,-2.655249,4.61118185299828,7.675081573320513
Apa,a + pa,3,-3.332208,6.8085087510141316,12.904346025772591
otU,otu,3,-3.976086,9.86328313177303,21.152514430330434
