Cutoff	AIC
1002	36749.5633933136
1020	36753.2696756142
1042	36758.2865483522
1068	36753.455135303
1090	36748.3118546424
1122	36756.5224038181
1151	36756.4692311814
1190	36753.4204769817
1229	36737.5523703424
1276	36737.5068204781
1339	36730.8987945181
1395	36743.5740529774
1475	36742.7526710521
1629	36737.9074396289
1813	36734.2056807728
3636	36718.4671886046
