V1	size	type
104324.36874947	1k	unweighted
103710.607568029	1k	unweighted
104232.884886249	1k	unweighted
103988.484993133	1k	unweighted
103976.593855822	1k	unweighted
104392.808220092	1k	unweighted
104249.310649129	1k	unweighted
104219.938328495	1k	unweighted
103885.551063879	1k	unweighted
104208.278613113	1k	unweighted
104191.906316681	1k	unweighted
104098.225611659	1k	unweighted
103856.488462571	1k	unweighted
104482.568278148	1k	unweighted
104011.635827725	1k	unweighted
104111.095525643	1k	unweighted
104121.627551677	1k	unweighted
104443.996258393	1k	unweighted
104330.79985898	1k	unweighted
104195.678526118	1k	unweighted
104010.036731454	1k	unweighted
104135.861648603	1k	unweighted
103990.711092262	1k	unweighted
104019.226799989	1k	unweighted
103989.251194654	1k	unweighted
104321.257703076	1k	unweighted
104216.446080073	1k	unweighted
104142.730951426	1k	unweighted
104227.284683694	1k	unweighted
104472.915672827	1k	unweighted
103839.498047694	1k	unweighted
103988.960983985	1k	unweighted
103824.832846303	1k	unweighted
104099.483700853	1k	unweighted
104152.788330725	1k	unweighted
104294.270895868	1k	unweighted
104412.178119025	1k	unweighted
104109.544942388	1k	unweighted
104446.30330921	1k	unweighted
104444.117178168	1k	unweighted
104383.076392072	1k	unweighted
103940.650835862	1k	unweighted
104393.268433637	1k	unweighted
103871.625137786	1k	unweighted
103990.588095041	1k	unweighted
104188.275217664	1k	unweighted
103804.481268669	1k	unweighted
104395.393887434	1k	unweighted
104186.345451046	1k	unweighted
103987.079518911	1k	unweighted
104340.247810185	1k	unweighted
104000.387791106	1k	unweighted
103983.863800393	1k	unweighted
104164.894288838	1k	unweighted
104261.37036621	1k	unweighted
104180.345314036	1k	unweighted
104224.497802202	1k	unweighted
104250.389963821	1k	unweighted
104151.31191642	1k	unweighted
103936.832517744	1k	unweighted
104457.935121846	1k	unweighted
104203.732307737	1k	unweighted
104052.133751465	1k	unweighted
104312.258269018	1k	unweighted
104346.59634834	1k	unweighted
104515.490817353	1k	unweighted
104266.140808421	1k	unweighted
104123.300484344	1k	unweighted
104358.407755076	1k	unweighted
104422.995435707	1k	unweighted
103797.265315122	1k	unweighted
104292.094953315	1k	unweighted
104738.321850572	1k	unweighted
104068.781441153	1k	unweighted
104467.989985456	1k	unweighted
104242.388482919	1k	unweighted
103760.312548356	1k	unweighted
104187.671222937	1k	unweighted
103850.137527056	1k	unweighted
104426.797801473	1k	unweighted
103786.484797113	1k	unweighted
104193.562231772	1k	unweighted
104221.030132802	1k	unweighted
104163.715527583	1k	unweighted
104420.835756288	1k	unweighted
103973.610124419	1k	unweighted
103893.716368158	1k	unweighted
104106.118581679	1k	unweighted
104058.755884418	1k	unweighted
104143.896420741	1k	unweighted
104466.810528395	1k	unweighted
104125.26787385	1k	unweighted
104368.840808559	1k	unweighted
104105.966679783	1k	unweighted
103822.597903683	1k	unweighted
104582.938941882	1k	unweighted
103964.107574435	1k	unweighted
103719.331072992	1k	unweighted
103987.768248711	1k	unweighted
104245.595437676	1k	unweighted
103976.000819512	1k	unweighted
104014.257556103	1k	unweighted
104006.656985226	1k	unweighted
104058.420310667	1k	unweighted
104227.240506834	1k	unweighted
104248.667948042	1k	unweighted
104018.505910416	1k	unweighted
103867.765723716	1k	unweighted
104296.788466563	1k	unweighted
104195.687176739	1k	unweighted
103658.829078197	1k	unweighted
103877.458260381	1k	unweighted
104260.548114451	1k	unweighted
104213.232711033	1k	unweighted
103861.825719287	1k	unweighted
104285.644067377	1k	unweighted
104314.591960841	1k	unweighted
104078.222491403	1k	unweighted
104233.487231725	1k	unweighted
104167.367957996	1k	unweighted
104088.434454659	1k	unweighted
104021.898301967	1k	unweighted
103928.866874805	1k	unweighted
104019.372857628	1k	unweighted
104173.290848268	1k	unweighted
103977.622629444	1k	unweighted
103871.383410267	1k	unweighted
104216.036187814	1k	unweighted
104417.816990092	1k	unweighted
104407.082243521	1k	unweighted
104201.557108237	1k	unweighted
104147.946619441	1k	unweighted
104022.175110491	1k	unweighted
104267.934964967	1k	unweighted
104232.318884561	1k	unweighted
104065.212918474	1k	unweighted
104341.42936622	1k	unweighted
103939.344989536	1k	unweighted
104041.856900836	1k	unweighted
104700.513765207	1k	unweighted
104480.027553147	1k	unweighted
103776.501118271	1k	unweighted
104114.685433262	1k	unweighted
104036.784412948	1k	unweighted
104172.480091062	1k	unweighted
103991.994588087	1k	unweighted
104099.846136196	1k	unweighted
104261.182456425	1k	unweighted
103836.057915458	1k	unweighted
103951.366823431	1k	unweighted
104138.546769367	1k	unweighted
104326.568820719	1k	unweighted
104044.347820497	1k	unweighted
103767.42557115	1k	unweighted
104063.708026885	1k	unweighted
103997.771667566	1k	unweighted
103861.657266263	1k	unweighted
104078.399021681	1k	unweighted
104084.652135379	1k	unweighted
104144.751093323	1k	unweighted
104219.52130211	1k	unweighted
103904.976470324	1k	unweighted
104159.426713962	1k	unweighted
104347.971181787	1k	unweighted
104177.283737688	1k	unweighted
103885.941595896	1k	unweighted
104025.041915275	1k	unweighted
103994.371405227	1k	unweighted
103886.269855223	1k	unweighted
104379.196932524	1k	unweighted
103993.876714924	1k	unweighted
103711.504142092	1k	unweighted
104316.957078904	1k	unweighted
103870.34365683	1k	unweighted
104064.982022831	1k	unweighted
104214.735937638	1k	unweighted
103793.719519702	1k	unweighted
103839.405464542	1k	unweighted
104119.284849515	1k	unweighted
104155.521758649	1k	unweighted
104247.53913042	1k	unweighted
104099.280715742	1k	unweighted
104012.173608935	1k	unweighted
103926.761122531	1k	unweighted
104416.264275157	1k	unweighted
104190.00571984	1k	unweighted
104119.692852316	1k	unweighted
104117.055848509	1k	unweighted
104260.211256649	1k	unweighted
104453.805922631	1k	unweighted
104268.362068917	1k	unweighted
104046.024349865	1k	unweighted
103990.376535605	1k	unweighted
104002.733795478	1k	unweighted
104097.176473996	1k	unweighted
104136.908273158	1k	unweighted
104083.088151305	1k	unweighted
104527.269157057	1k	unweighted
104394.819755381	1k	unweighted
104691.348821702	1k	unweighted
104395.969360977	1k	unweighted
104161.440495602	1k	unweighted
103812.129308538	1k	unweighted
104319.115808249	1k	unweighted
104086.208541834	1k	unweighted
104101.489495263	1k	unweighted
104361.497593628	1k	unweighted
104322.94048254	1k	unweighted
104129.622017601	1k	unweighted
104188.481128847	1k	unweighted
104132.984958896	1k	unweighted
104182.880816137	1k	unweighted
103983.895996417	1k	unweighted
104451.529222482	1k	unweighted
104088.457593669	1k	unweighted
104030.99545912	1k	unweighted
104012.616365847	1k	unweighted
104153.02757733	1k	unweighted
104471.872812539	1k	unweighted
104451.631153077	1k	unweighted
103902.811489996	1k	unweighted
103790.545327027	1k	unweighted
104065.487739296	1k	unweighted
104271.567824333	1k	unweighted
104124.276391152	1k	unweighted
104190.431064349	1k	unweighted
104063.043079972	1k	unweighted
103907.246330563	1k	unweighted
104028.959978262	1k	unweighted
104245.004796011	1k	unweighted
104136.845345379	1k	unweighted
