V1 Size
9.7903681986591 1k
9.09489154239049 1k
8.7198869715957 1k
9.75520062753885 1k
9.05174361954347 1k
9.46236239594907 1k
9.26643538110285 1k
10.1184347197531 1k
9.93501172547121 1k
8.82837823278714 1k
9.08224336719308 1k
9.48761153145455 1k
9.45729634167139 1k
10.1127014723973 1k
9.2887119057602 1k
9.56074223008241 1k
9.50041572120841 1k
9.01155161821223 1k
9.43990072487104 1k
9.51199902583311 1k
9.99922334324434 1k
9.37037529908508 1k
9.58070424953634 1k
9.59945294718625 1k
8.98244586137367 1k
9.40158439586057 1k
9.59653666582308 1k
8.79793680306254 1k
9.66575354557896 1k
9.08270953160892 1k
10.0755281469384 1k
9.62051078764361 1k
9.49729015918691 1k
9.28054578078562 1k
10.0438495590935 1k
9.11722729133731 1k
9.72867416822086 1k
10.0242006895465 1k
9.20829104794925 1k
9.26134226722353 1k
9.70848400908243 1k
9.9861145809894 1k
9.27603703388627 1k
9.76300542266628 1k
9.85199379178935 1k
9.52364129241943 1k
9.92666849812242 1k
9.1518470427934 1k
8.80153563796491 1k
9.10880457454856 1k
9.34737065689699 1k
9.75765484421745 1k
9.58749271246965 1k
9.38839134018233 1k
9.73548301038839 1k
9.35662909284973 1k
8.90115855070639 1k
8.9002247102934 1k
9.18534791380056 1k
8.92505900695269 1k
10.1345832822995 1k
9.79750639154596 1k
8.99154442007083 1k
9.45252857869833 1k
9.42606125052419 1k
10.3277724613274 1k
10.2390506909337 1k
9.10841356803289 1k
10.2207356153427 1k
8.94760084648836 1k
10.0082182254045 1k
9.40976061135485 1k
9.86439576795469 1k
9.80296926737282 1k
9.86525700474328 1k
9.98506058758927 1k
9.66556012541091 1k
9.02291018089704 1k
9.92852328616187 1k
9.40644838704874 1k
9.69370319970352 1k
10.0367040203405 1k
9.09845168020571 1k
9.63705448926152 1k
9.81091296254679 1k
8.65276723344146 1k
8.74959677628338 1k
9.52002286152555 1k
9.88614331910479 1k
9.57609823368978 1k
9.76971528254077 1k
9.02352499149414 1k
8.57542650321105 1k
9.47278841684206 1k
8.98910752200223 1k
9.26512746043425 1k
9.46882551068545 1k
8.97644873518536 1k
9.7084426548202 1k
8.96842459956088 1k
8.97759685163804 1k
9.1814000474659 1k
9.62369218438289 1k
9.45171815778748 1k
9.841260636984 1k
9.54602941210372 1k
9.48323347288335 1k
9.36536403039335 1k
9.39196926246202 1k
9.38233431127519 1k
10.0004402569891 1k
9.10043665515225 1k
9.60476738139074 1k
9.59814456766749 1k
9.784937494769 1k
9.58897922193497 1k
10.2206759307558 1k
9.79376593415083 1k
9.46010817724323 1k
9.12462041579275 1k
9.61965492486016 1k
10.1360332091712 1k
10.0223081575507 1k
9.85906466701395 1k
9.27897548486816 1k
9.42679122636758 1k
9.84023597669813 1k
9.21176527880498 1k
9.75533803326777 1k
10.3927110000833 1k
9.55319495842462 1k
9.79140978351665 1k
10.1104664124281 1k
9.66486540062978 1k
9.45516776448721 1k
9.36286948163004 1k
8.91263511831053 1k
9.24851777069587 1k
9.22223828751508 1k
9.32675992965981 1k
9.7191976379927 1k
10.598595789831 1k
9.51080683459144 1k
9.29569970038949 1k
9.39268209305083 1k
