V1	size	type
36903.9878481253	0.5k	unweighted parsed
36922.0838909349	0.5k	unweighted parsed
36961.4907258752	0.5k	unweighted parsed
36889.3226825118	0.5k	unweighted parsed
36974.6425311549	0.5k	unweighted parsed
37006.0063759852	0.5k	unweighted parsed
36945.573679594	0.5k	unweighted parsed
36930.1717625648	0.5k	unweighted parsed
37000.7999868538	0.5k	unweighted parsed
37069.9793156032	0.5k	unweighted parsed
36861.9160182285	0.5k	unweighted parsed
36952.915080703	0.5k	unweighted parsed
37076.3973578201	0.5k	unweighted parsed
36960.9113804666	0.5k	unweighted parsed
36958.0385279449	0.5k	unweighted parsed
36960.0264483175	0.5k	unweighted parsed
36906.5364447161	0.5k	unweighted parsed
37052.2754479025	0.5k	unweighted parsed
36912.0085634078	0.5k	unweighted parsed
36922.0148466903	0.5k	unweighted parsed
37034.3087450025	0.5k	unweighted parsed
37049.0123209868	0.5k	unweighted parsed
37007.0830570344	0.5k	unweighted parsed
36858.6353791563	0.5k	unweighted parsed
36851.7389662703	0.5k	unweighted parsed
36969.1412875283	0.5k	unweighted parsed
36880.8088645797	0.5k	unweighted parsed
36992.0184313741	0.5k	unweighted parsed
37020.3023759178	0.5k	unweighted parsed
36882.2650556721	0.5k	unweighted parsed
36897.7358642472	0.5k	unweighted parsed
36933.6626190918	0.5k	unweighted parsed
36940.6478228987	0.5k	unweighted parsed
36928.3259080336	0.5k	unweighted parsed
36958.2241892603	0.5k	unweighted parsed
36943.0550032953	0.5k	unweighted parsed
36955.7569981137	0.5k	unweighted parsed
36948.9773364772	0.5k	unweighted parsed
36931.4680401501	0.5k	unweighted parsed
36881.542345407	0.5k	unweighted parsed
37031.4455737341	0.5k	unweighted parsed
36922.8667745747	0.5k	unweighted parsed
36935.7545192111	0.5k	unweighted parsed
36995.7460965739	0.5k	unweighted parsed
37004.9645611419	0.5k	unweighted parsed
37042.4339257247	0.5k	unweighted parsed
36956.670447402	0.5k	unweighted parsed
36892.7602261654	0.5k	unweighted parsed
37060.1485149764	0.5k	unweighted parsed
36894.1422616088	0.5k	unweighted parsed
36904.5874433515	0.5k	unweighted parsed
36904.2778763027	0.5k	unweighted parsed
36982.523679328	0.5k	unweighted parsed
36897.9667375155	0.5k	unweighted parsed
36918.723548643	0.5k	unweighted parsed
36876.8940504153	0.5k	unweighted parsed
36993.2031577039	0.5k	unweighted parsed
36988.3511335367	0.5k	unweighted parsed
36963.7796398705	0.5k	unweighted parsed
37020.222347895	0.5k	unweighted parsed
37004.2687319858	0.5k	unweighted parsed
36955.8914942833	0.5k	unweighted parsed
37010.6773908368	0.5k	unweighted parsed
36925.8828074201	0.5k	unweighted parsed
36966.0515790976	0.5k	unweighted parsed
