V1	size	type
104280.786298107	0.5k	unweighted parsed
104554.350682933	0.5k	unweighted parsed
104779.572744249	0.5k	unweighted parsed
103999.200412182	0.5k	unweighted parsed
104523.566241313	0.5k	unweighted parsed
105105.481022953	0.5k	unweighted parsed
104435.056337563	0.5k	unweighted parsed
104426.220040571	0.5k	unweighted parsed
104354.393872692	0.5k	unweighted parsed
104079.796857829	0.5k	unweighted parsed
104529.934801388	0.5k	unweighted parsed
104418.87614268	0.5k	unweighted parsed
104596.530208467	0.5k	unweighted parsed
104381.401127467	0.5k	unweighted parsed
104977.644565823	0.5k	unweighted parsed
104364.100417827	0.5k	unweighted parsed
104178.327757094	0.5k	unweighted parsed
104057.486489811	0.5k	unweighted parsed
104209.182736931	0.5k	unweighted parsed
104428.674524586	0.5k	unweighted parsed
104634.324349067	0.5k	unweighted parsed
104567.852583402	0.5k	unweighted parsed
104167.927398257	0.5k	unweighted parsed
104233.535728274	0.5k	unweighted parsed
104445.889075985	0.5k	unweighted parsed
104258.524094859	0.5k	unweighted parsed
104401.229182471	0.5k	unweighted parsed
103788.723739147	0.5k	unweighted parsed
104430.694359137	0.5k	unweighted parsed
104471.459008228	0.5k	unweighted parsed
104512.041842022	0.5k	unweighted parsed
104406.062312405	0.5k	unweighted parsed
104434.695305723	0.5k	unweighted parsed
104632.745482982	0.5k	unweighted parsed
104151.907435479	0.5k	unweighted parsed
104275.779890899	0.5k	unweighted parsed
104495.81148804	0.5k	unweighted parsed
104137.76966788	0.5k	unweighted parsed
104591.848760453	0.5k	unweighted parsed
104280.014510139	0.5k	unweighted parsed
104119.486564105	0.5k	unweighted parsed
104570.468156652	0.5k	unweighted parsed
103905.713598415	0.5k	unweighted parsed
104399.996675716	0.5k	unweighted parsed
104389.540835213	0.5k	unweighted parsed
104566.993174767	0.5k	unweighted parsed
103968.238449834	0.5k	unweighted parsed
104388.304312886	0.5k	unweighted parsed
104237.718038649	0.5k	unweighted parsed
104433.1376307	0.5k	unweighted parsed
104294.017038782	0.5k	unweighted parsed
104266.048857219	0.5k	unweighted parsed
104401.747344672	0.5k	unweighted parsed
104701.959428831	0.5k	unweighted parsed
104437.417584505	0.5k	unweighted parsed
104550.721090887	0.5k	unweighted parsed
104267.555984435	0.5k	unweighted parsed
104852.973266815	0.5k	unweighted parsed
104163.112381317	0.5k	unweighted parsed
104728.647971086	0.5k	unweighted parsed
104840.316755225	0.5k	unweighted parsed
104155.998414098	0.5k	unweighted parsed
104830.590912898	0.5k	unweighted parsed
104676.760574883	0.5k	unweighted parsed
104802.963188716	0.5k	unweighted parsed
104595.874482037	0.5k	unweighted parsed
104137.784277613	0.5k	unweighted parsed
