V1	size	type
36869.0655048302	1k	unweighted
36787.9987678978	1k	unweighted
36784.1756291707	1k	unweighted
36804.610432835	1k	unweighted
36872.5214802876	1k	unweighted
36844.7521101229	1k	unweighted
36767.8070407105	1k	unweighted
36822.6269552663	1k	unweighted
36777.1448970005	1k	unweighted
36833.3578913116	1k	unweighted
36775.1465591397	1k	unweighted
36863.6105415143	1k	unweighted
36824.175947284	1k	unweighted
36781.9988634264	1k	unweighted
36863.8067225956	1k	unweighted
36781.7142423753	1k	unweighted
36826.1429228525	1k	unweighted
36882.914656668	1k	unweighted
36826.462167374	1k	unweighted
36815.1347638655	1k	unweighted
36780.0334626583	1k	unweighted
36841.2111199275	1k	unweighted
36857.3692110125	1k	unweighted
36859.6833312797	1k	unweighted
36750.6480846944	1k	unweighted
36854.3234482515	1k	unweighted
36790.3956849635	1k	unweighted
36825.809036665	1k	unweighted
36795.5856792491	1k	unweighted
36884.3477363646	1k	unweighted
36880.8152480068	1k	unweighted
36830.191713317	1k	unweighted
36848.1001610353	1k	unweighted
36841.7262563378	1k	unweighted
36771.2922185126	1k	unweighted
36821.8254609798	1k	unweighted
36768.8286204541	1k	unweighted
36862.7445713333	1k	unweighted
36852.1103909218	1k	unweighted
36843.437004809	1k	unweighted
36861.0141150229	1k	unweighted
36833.7084350366	1k	unweighted
36833.6538676231	1k	unweighted
36859.8699573877	1k	unweighted
36787.902082293	1k	unweighted
36784.9497704458	1k	unweighted
36822.7160241689	1k	unweighted
36860.0285520835	1k	unweighted
36917.99132495	1k	unweighted
36862.6826356409	1k	unweighted
36892.8799601546	1k	unweighted
36846.49085236	1k	unweighted
36802.8804515823	1k	unweighted
36794.6580699814	1k	unweighted
36891.9743527409	1k	unweighted
36821.5792634554	1k	unweighted
36811.9921950091	1k	unweighted
36820.244853419	1k	unweighted
36736.55259149	1k	unweighted
36903.5040266553	1k	unweighted
36875.1898510068	1k	unweighted
36804.4027027247	1k	unweighted
36876.34721148	1k	unweighted
36826.5259501366	1k	unweighted
36796.7312422012	1k	unweighted
36833.6917376524	1k	unweighted
36844.5899885745	1k	unweighted
36783.8304414158	1k	unweighted
36853.7271574228	1k	unweighted
36798.4681549127	1k	unweighted
36846.401511699	1k	unweighted
36846.5750888673	1k	unweighted
36903.6453063153	1k	unweighted
36795.0264724826	1k	unweighted
36818.5413645868	1k	unweighted
36845.8636950301	1k	unweighted
36838.2160278338	1k	unweighted
36919.5557270855	1k	unweighted
36864.5102096122	1k	unweighted
36887.936639043	1k	unweighted
36843.0488378059	1k	unweighted
36883.6620775134	1k	unweighted
36794.0197745028	1k	unweighted
36866.5495470064	1k	unweighted
36934.3403638488	1k	unweighted
36819.6031689359	1k	unweighted
36874.017769847	1k	unweighted
36804.245701742	1k	unweighted
36787.1401661591	1k	unweighted
36773.0242471932	1k	unweighted
36707.5529595821	1k	unweighted
36910.5048600539	1k	unweighted
36835.8395456772	1k	unweighted
36857.8051318711	1k	unweighted
36850.5056021432	1k	unweighted
36818.4595098053	1k	unweighted
36887.6392181474	1k	unweighted
36865.7825772564	1k	unweighted
36772.7552054846	1k	unweighted
36800.4788161011	1k	unweighted
36814.4549218601	1k	unweighted
36844.4700638461	1k	unweighted
36884.6463784859	1k	unweighted
36817.576020341	1k	unweighted
36858.8954286295	1k	unweighted
36850.5735312536	1k	unweighted
36815.8620172865	1k	unweighted
36869.8252747353	1k	unweighted
36843.944173154	1k	unweighted
36760.4640728334	1k	unweighted
36791.7980014311	1k	unweighted
36820.6430032879	1k	unweighted
36785.8604182018	1k	unweighted
36819.147850322	1k	unweighted
36862.5973761381	1k	unweighted
36876.7748049471	1k	unweighted
36803.9682266103	1k	unweighted
36831.6107743614	1k	unweighted
36818.1664030665	1k	unweighted
36766.7819517707	1k	unweighted
36875.0221732743	1k	unweighted
36828.2895695439	1k	unweighted
36676.5978996326	1k	unweighted
36750.4548175079	1k	unweighted
36889.9114443286	1k	unweighted
36825.2970306869	1k	unweighted
36786.0537576289	1k	unweighted
36875.8113910473	1k	unweighted
36893.6513061075	1k	unweighted
36786.3930257625	1k	unweighted
36837.642386256	1k	unweighted
36834.775093328	1k	unweighted
36816.2806675027	1k	unweighted
36820.0897507368	1k	unweighted
36760.8238590908	1k	unweighted
36801.8300697232	1k	unweighted
36839.6815381837	1k	unweighted
36800.1624151762	1k	unweighted
36790.0876477422	1k	unweighted
36803.3375594112	1k	unweighted
36915.1836090209	1k	unweighted
36893.2209063214	1k	unweighted
36868.7408330602	1k	unweighted
36823.191067497	1k	unweighted
36757.3828101646	1k	unweighted
36896.298618871	1k	unweighted
36855.4708610764	1k	unweighted
36833.5756006287	1k	unweighted
36864.2117235446	1k	unweighted
36840.9848341265	1k	unweighted
36745.1847005184	1k	unweighted
36931.6340568787	1k	unweighted
36824.5866111832	1k	unweighted
36719.3746946362	1k	unweighted
36794.0662327558	1k	unweighted
36785.79680687	1k	unweighted
36800.3823042797	1k	unweighted
36805.8002576255	1k	unweighted
36872.1113377908	1k	unweighted
36747.4595628961	1k	unweighted
36734.3532808288	1k	unweighted
36790.1602427086	1k	unweighted
36866.1604548081	1k	unweighted
36807.1361660044	1k	unweighted
36796.9112307637	1k	unweighted
36763.7973620587	1k	unweighted
36841.2003656292	1k	unweighted
36777.5493909224	1k	unweighted
36779.1405808206	1k	unweighted
36758.6202176578	1k	unweighted
36846.162468481	1k	unweighted
36877.6606378062	1k	unweighted
36857.3466322026	1k	unweighted
36816.0246897416	1k	unweighted
36839.7370332033	1k	unweighted
36897.4087641961	1k	unweighted
36828.7277157789	1k	unweighted
36811.9967488945	1k	unweighted
36769.3579449734	1k	unweighted
36830.5334743097	1k	unweighted
36771.057213457	1k	unweighted
36858.9092078721	1k	unweighted
36793.9084466114	1k	unweighted
36767.6723011886	1k	unweighted
36811.372953989	1k	unweighted
36809.4453014376	1k	unweighted
36843.8526484453	1k	unweighted
36792.8427241696	1k	unweighted
36757.547564418	1k	unweighted
36839.6206220714	1k	unweighted
36826.8762391529	1k	unweighted
36819.6048442318	1k	unweighted
36878.9186540091	1k	unweighted
36875.9960091764	1k	unweighted
36849.6286717998	1k	unweighted
36826.8493968274	1k	unweighted
36894.6928544968	1k	unweighted
36872.252814095	1k	unweighted
36865.3694826963	1k	unweighted
36823.0074090127	1k	unweighted
36807.0605382409	1k	unweighted
36843.2701735639	1k	unweighted
36847.4054791924	1k	unweighted
36805.3275061402	1k	unweighted
36818.6483525527	1k	unweighted
36786.673015624	1k	unweighted
36705.5559781468	1k	unweighted
36841.438589795	1k	unweighted
36821.2634837735	1k	unweighted
36923.8528480989	1k	unweighted
36880.5620502909	1k	unweighted
36920.6397645568	1k	unweighted
36837.2692724316	1k	unweighted
36833.052295009	1k	unweighted
36775.3308148798	1k	unweighted
36839.3718959397	1k	unweighted
36789.4002887861	1k	unweighted
36842.6261576733	1k	unweighted
36893.0337462817	1k	unweighted
36843.0523257854	1k	unweighted
36813.535973171	1k	unweighted
36800.6435708689	1k	unweighted
36792.3801176265	1k	unweighted
36839.4778977601	1k	unweighted
36756.4083471653	1k	unweighted
36860.5123962259	1k	unweighted
36818.0013820764	1k	unweighted
36765.3619345069	1k	unweighted
36823.8507318771	1k	unweighted
36755.5215611861	1k	unweighted
36844.0038445318	1k	unweighted
36918.1527104224	1k	unweighted
36800.2830878937	1k	unweighted
36740.9579462246	1k	unweighted
36826.9567351315	1k	unweighted
36798.8194144159	1k	unweighted
36829.9162641526	1k	unweighted
36838.7312237953	1k	unweighted
36772.0438429891	1k	unweighted
36732.1242692296	1k	unweighted
36801.9028601693	1k	unweighted
36861.8404671492	1k	unweighted
36877.463494771	1k	unweighted
36790.5685805939	1k	unweighted
36824.1193559404	1k	unweighted
36976.9439251331	1k	unweighted
36771.3561666786	1k	unweighted
36773.4387812906	1k	unweighted
36828.8982488051	1k	unweighted
36797.0330106833	1k	unweighted
36786.1044202455	1k	unweighted
36821.7768486031	1k	unweighted
36811.5781425956	1k	unweighted
36778.7306910226	1k	unweighted
36880.1402828413	1k	unweighted
36782.5640325487	1k	unweighted
36844.7637915663	1k	unweighted
36873.08228419	1k	unweighted
36834.0682230748	1k	unweighted
36699.6595294255	1k	unweighted
36820.1138488999	1k	unweighted
36818.4680545234	1k	unweighted
36777.0592488335	1k	unweighted
36868.5934883496	1k	unweighted
36755.2828342269	1k	unweighted
36842.4302503744	1k	unweighted
