Cutoff	AIC
1002	103748.176336362
1020	103744.581800405
1042	103753.782434407
1068	103742.084683518
1090	103673.704537467
1122	103672.84940917
1151	103648.105947334
1190	103610.40858864
1229	103492.645843401
1276	103462.617401414
1339	103363.502000454
1395	103401.703324356
1475	103382.864295709
1629	103363.22314378
1813	103414.345840764
3636	103447.597830394
