Stimulus type PhonemeLength
tātupu word 6
ihohia word 6
tuatea word 6
inumia word 6
kaitua word 6
mūrere word 6
otingia word 6
pōkiha word 6
raorao word 6
tītoko word 6
whārona word 6
hāwere word 6
heitia word 6
kirihi word 6
papanga word 6
uwhihia word 6
kaponga word 6
tāwhiwhi word 6
hohori word 6
kāheru word 6
pūhore word 6
riringi word 6
kauenga word 6
mohoao word 6
pāpiri word 6
pēpepe word 6
unungia word 6
tironga word 6
whakapū word 6
karore word 6
oratia word 6
torona word 6
merengi word 6
pātara word 6
pūkākā word 6
tōkohi word 6
kanapa word 6
pinenga word 6
kaiaua word 6
rākete word 6
puninga word 6
hoariri word 7
huarahi word 7
matatau word 7
atamira word 7
kaipuke word 7
nanakia word 7
tangihia word 7
taraiwa word 7
hauāuru word 7
rīpoata word 7
takutai word 7
ākuanei word 7
moutere word 7
taetanga word 7
heamana word 7
horekau word 7
karaihe word 7
paetahi word 7
whakahua word 7
whakaaro word 7
whakamua word 7
pūtaiao word 7
tūreiti word 7
hakihea word 7
whakawai word 7
amorangi word 7
irāmutu word 7
nukuhia word 7
rarauwhe word 7
raumati word 7
whāiatia word 7
iuniana word 7
horaina word 7
huakina word 7
kitengia word 7
titohia word 7
tonongia word 7
whakaoho word 7
kaihana word 7
karawhiu word 7
mahitia word 7
taiwhanga word 7
taokete word 7
waitohi word 7
apakura word 7
taharua word 7
whakairi word 7
koineki word 7
pirongia word 7
kaipara word 7
rongopai word 7
rangirua word 7
aukatia word 7
hotuope word 7
hunaonga word 7
tarawhai word 7
kapotai word 7
anahera word 7
taupoki word 7
hungarei word 7
papaoro word 7
kaihoko word 7
huringia word 7
parirau word 7
rīhaina word 7
mihihia word 7
nohohia word 7
toimaha word 7
whāwhākia word 7
waihoki word 7
ahurewa word 7
mataira word 7
purungia word 7
porohia word 7
nohotia word 7
parahia word 7
kaihopu word 7
nōreira word 7
rakaina word 7
tunungia word 7
wahangia word 7
huirapa word 7
pāmamao word 7
pīpīwai word 7
raupapa word 7
tomongia word 7
whaitanga word 7
hunatia word 7
hungawai word 7
kurangia word 7
pāpaoho word 7
pōānanga word 7
pokangia word 7
taupatu word 7
whaitiri word 7
taukuri word 7
pōtingia word 7
tuarongo word 7
meatanga word 7
raupunga word 7
atatuhi word 7
mataora word 7
hiwingia word 7
oatihia word 7
raerino word 7
taeatia word 7
tōarero word 7
huarere word 7
tōpūhia word 7
haehaea word 7
taruhae word 7
tautoro word 7
tikaina word 7
tūhokia word 7
waipara word 7
tupuhia word 7
ahatanga word 7
nukungia word 7
poipātū word 7
huatanga word 7
ngaorunga word 7
rewatia word 7
tomokia word 7
huamata word 7
tuhihia word 7
wharerau word 7
koianei word 7
pitiana word 7
taunaha word 7
tuhaina word 7
ngātauru word 7
urikore word 7
kainoho word 7
motuhia word 7
taeranga word 7
waeatia word 7
āwhinatia word 8
mōhiotia word 8
waihotia word 8
whakapono word 8
whakatipu word 8
kitekite word 8
whiriwhiri word 8
whakaahua word 8
hukarere word 8
tohutohu word 8
āhuatanga word 8
hingahinga word 8
matemate word 8
pāremata word 8
whakamihi word 8
nohonoho word 8
raruraru word 8
hainahia word 8
marumaru word 8
matatini word 8
pātaingia word 8
tahataha word 8
tunutunu word 8
hawaiana word 8
hukapapa word 8
penihana word 8
purapura word 8
tongarewa word 8
turituri word 8
wetewete word 8
rāhuihui word 8
tonotono word 8
whakangaro word 8
pakihiwi word 8
tokorima word 8
kirimina word 8
pakipaki word 8
wheketere word 8
tarutaru word 8
kutikuti word 8
rongorongo word 8
manurere word 8
whakapati word 8
hopuhopu word 8
tipuranga word 8
waihongia word 8
whāruarua word 8
haerengia word 8
manawapā word 8
tāhaetia word 8
pātaihia word 8
whakanuia word 8
matamata word 8
rangirangi word 8
whakamaru word 8
kirimana word 8
rewharewha word 8
takaware word 8
tukituki word 8
tūwairua word 8
whakaotia word 8
aituātia word 8
pakapaka word 8
rangahaua word 8
terehatī word 8
whakangungu word 8
kaiwhāngai word 8
timutimu word 8
tonutanga word 8
torotika word 8
tahitahi word 8
uaratanga word 8
whāwhātanga word 8
pungarangi word 8
hāparangi word 8
kumekume word 8
kutarere word 8
rahurahu word 8
kaipānui word 8
karekare word 8
whakamoea word 8
kamakama word 8
hautupua word 8
hikohiko word 8
takariri word 8
pihikete word 8
mangumangu word 8
tiakihia word 8
kaipātai word 8
kitehanga word 8
porowhiua word 8
purukamu word 8
pīataata word 8
titikaha word 8
whakairia word 8
kauaemua word 8
kurateau word 8
tāraihia word 8
whakamaoa word 8
hāngaitia word 8
hūmārire word 8
hūneinei word 8
māiatanga word 8
parepare word 8
pōkairua word 8
matapiko word 8
pararaki word 8
pēneihia word 8
whakakawe word 8
whakamānu word 8
whakawaho word 8
whātātutu word 8
kaipurei word 8
taiopenga word 8
matatiki word 8
wharewhare word 8
kimihanga word 8
matikara word 8
penapena word 8
rukuruku word 8
tarawāhi word 8
arohahia word 8
rererere word 8
tutengahi word 8
porotaka word 8
ritehanga word 8
hikipene word 8
rākeiora word 8
mahatanga word 8
pēhikino word 8
korohuhū word 8
wanawana word 8
whakakiko word 8
hangariki word 8
merekara word 8
morihana word 8
pāpāringa word 8
porotēhi word 8
ratarata word 8
tokatoka word 8
kāpuapua word 8
topetope word 8
werewere word 8
whainangia word 8
whānaungia word 8
hiwahiwa word 8
komekome word 8
matikuku word 8
pēhiatia word 8
whānuingia word 8
māmātanga word 8
mahituku word 8
tākaikai word 8
manutahi word 8
hunuhunu word 8
whakapeke word 8
paewhenua word 8
rirohanga word 8
hoputanga word 8
karawhaea word 8
mārōtanga word 8
karatiti word 8
korukoru word 8
tuarāngia word 8
kāretahi word 8
tapitapi word 8
whakatūhia word 9
inakuanei word 9
whakaaengia word 9
kaiwhakawā word 9
whakarerea word 9
karangatia word 9
poipoihia word 9
whakahēngia word 9
whakamutua word 9
whakatōngia word 9
whārikihia word 9
aukatihia word 9
whakawātia word 9
hākaritia word 9
kaipupuri word 9
poitūkohu word 9
tūhawaiki word 9
pōuritanga word 9
whakakorea word 9
tāpukehia word 9
tuwherahia word 9
tūkinohia word 9
kōrerohua word 9
mōhioranga word 9
whakapapai word 9
whakatōhia word 9
āhurutanga word 9
aituātanga word 9
whakawāngia word 9
iriiritia word 9
pīrangihia word 9
poutūtanga word 9
rawekehia word 9
whakakapia word 9
whakatarea word 9
paohotanga word 9
puhipuhia word 9
hohoutanga word 9
tuwheratia word 9
āwhinatanga word 9
tāmokohia word 9
whakawākia word 9
huihuingia word 9
kaitātaki word 9
mātauraka word 9
whakatōria word 9
warewarea word 9
kaitāpuke word 9
kirikotea word 9
whakatūtia word 9
whakaturea word 9
wahangūtia word 9
aoaketanga word 9
karaitina word 9
pīkautanga word 9
tuatahinga word 9
taiapatia word 9
tāpaetanga word 9
whakatīwae word 9
ripiripia word 9
kaikauhoe word 9
katoatanga word 9
wāriutanga word 9
kaimiraka word 9
manakotia word 9
māuiuihia word 9
rūmakingia word 9
rerekētanga word 10
tautokohia word 10
whakatauhia word 10
whakataetae word 10
kārangaranga word 10
whakapaetia word 10
whakatuwhera word 10
pirihimana word 10
whakakotahi word 10
takatakahi word 10
whakaitihia word 10
whakamahana word 10
whiriwhiringa word 10
pōharatanga word 10
tohungatanga word 10
whakaakohia word 10
minitatanga word 10
whakarerekē word 10
maramataka word 10
whakahuatia word 10
whakamomori word 10
whakanuihia word 10
takotoranga word 10
whakaputanga word 10
paiheretia word 10
wehewehenga word 10
whakawhiwhinga word 10
kaitaraiwa word 10
kōpikopiko word 10
kōhurutanga word 10
raupatutia word 10
karangatahi word 10
pākarukaru word 10
whakatautia word 10
kaimanaaki word 10
mauherehia word 10
pātukituki word 10
raupatungia word 10
hiahiatanga word 10
whakararata word 10
kārohirohi word 10
pōraruraru word 10
whakaakongia word 10
whakahekenga word 10
whakatīmata word 10
pūrekereke word 10
whakatōmuri word 10
whakaroaroa word 10
whakautuhia word 10
whakanuingia word 10
whakatupunga word 10
kaitautohe word 10
tapahitanga word 10
whakaarangia word 10
whakakākahu word 10
whakaoratia word 10
titirohanga word 10
kōhimuhimu word 10
ekeeketanga word 10
pāhurehure word 10
tāhurihuri word 10
waipuketia word 10
whakaraweke word 10
tūmekemeke word 10
pāraharaha word 10
whakaotitia word 10
mahanatanga word 10
whakahauhia word 10
kāpunitanga word 10
pōteretere word 10
whakakōpani word 10
whakamāminga word 10
whakataitai word 10
whakaotingia word 10
whakarearea word 10
whakaruruhau word 11
whakawhanaunga word 11
taukumekume word 11
tuatahitanga word 11
whakahuatanga word 11
whakatipungia word 11
whakahaerenga word 11
tuawhakarere word 11
whakaputahia word 11
tohutohungia word 11
pāparakāuta word 11
whakahokingia word 11
whakamanatia word 11
whakapikihia word 11
hokohokongia word 11
whakatūtūhia word 11
whakarongohia word 11
raupatutanga word 11
tirotirongia word 11
tauparapara word 11
toimahatanga word 11
whakaritengia word 11
whakamutungia word 11
whakaututanga word 11
whakatikangia word 11
whakarahitia word 11
whakatūtūngia word 11
kaiwhakamana word 11
huripokihia word 11
warewarengia word 11
wehewehetia word 11
hurihurihia word 11
whakaterengia word 11
whakaponohia word 11
taumarumaru word 11
tohetohetia word 11
tohutohuhia word 11
iāiatonunei word 11
kaiwhakatupu word 11
koretuahotu word 11
kaikutikuti word 11
karawhiutanga word 11
poitarawhiti word 11
whakareretia word 11
whakatangitangi word 12
whakanekeneke word 12
whakawhitiwhiti word 12
whakatikatika word 12
whakareretanga word 12
whakarangatira word 12
whakatakariri word 12
whakahokitanga word 12
whakawehewehe word 12
whakahaerengia word 12
whakaparahako word 12
whakapuaretia word 12
whakaingoatanga word 12
whakanohonoho word 12
whakawāteangia word 12
kaiwhakapūmau word 12
whakakatakata word 12
whakakamakama word 12
wehewehetanga word 12
whakamātauria word 12
kaiwhakawhānau word 12
whakatūtūtanga word 12
aokāhiwahiwa word 12
maumaharatia word 12
tinihangatanga word 12
whakarerireri word 12
whakapaohohia word 12
whakawiriwiri word 12
makariritanga word 12
whakamanuhiri word 12
