item,logprob
anE,-4.115929
Aea,-5.303195
OrA,-3.82594
irE,-4.483721
Eku,-4.764362
atU,-4.070983
hiA,-2.39209
Imo,-6.289577
omO,-4.742877
wAi,-2.939845
IwE,-5.209676
atE,-4.093746
ikU,-5.126521
epA,-5.46556
ANU,-4.852574
awi,-4.666032
peu,-5.509935
ANA,-3.159927
Oru,-4.045326
AhE,-3.959004
NOu,-4.860271
Ure,-3.874412
OhI,-3.688894
aiE,-5.213068
upU,-4.790604
OfI,-5.623206
enu,-4.539854
Opu,-4.73352
iao,-5.879261
Uni,-4.224779
Ihe,-4.929983
Ine,-3.811704
nia,-3.539504
Ahe,-3.959004
une,-4.43897
uaA,-8.038687
huI,-3.38613
Ane,-4.115929
mIi,-6.276656
Ihu,-4.901339
OhE,-4.079601
Oni,-4.686479
ihU,-4.901339
EhE,-4.133211
kAu,-3.036216
Apa,-3.841382
otU,-4.730325
IwA,-4.271429
Awa,-3.583575
etA,-4.663125
reU,-6.39123
oau,-5.766031
ImO,-6.289577
epo,-6.088794
ONU,-6.261089
One,-4.223456
iAu,-6.589117
kaO,-3.348824
Iwe,-5.209676
Aeo,-7.461256
Ofa,-6.588255
UkE,-4.122373
ApU,-4.042334
aii,-7.799671
owA,-5.57324
IkA,-4.876362
Aue,-4.897189
orE,-3.579634
upO,-5.265462
Amo,-4.437983
uno,-5.069945
OpO,-5.035637
enI,-4.912601
nue,-5.972308
epE,-5.826098
feu,-5.655998
Owi,-6.372313
etI,-4.275133
Ire,-4.483721
tOA,-3.541792
AhU,-3.640382
eme,-5.619342
erU,-4.910925
IwI,-4.268286
unO,-5.069945
fAo,-3.419959
oeA,-5.032503
uii,-7.170787
aiO,-4.876006
inE,-3.811704
Ira,-3.963808
upi,-5.496294
epi,-6.133365
OmO,-4.742877
Noa,-3.961766
Oua,-5.238219
ahO,-4.079778
nOi,-4.199837
eNu,-5.452145
tAe,-3.350192
ome,-5.108435
paI,-3.189571
nAi,-4.355058
UpA,-4.756683
eNU,-5.452145
kEa,-3.696574
puA,-2.731576
eaa,-8.610107
opo,-5.035637
AwE,-4.190918
awE,-4.190918
oNu,-6.261089
auA,-3.754071
ItI,-4.076115
unA,-3.714161
tUa,-2.574895
InI,-3.601832
UrA,-3.66587
ONO,-5.052254
OtI,-4.105164
ofi,-5.623206
Ome,-5.108435
Awi,-4.666032
ENe,-5.223177
kiO,-4.29126
ItU,-4.897941
aiu,-5.293843
Eka,-4.521802
aNU,-4.852574
pAu,-3.484104
AkE,-3.919665
Eko,-4.819688
irU,-4.626716
ire,-4.483721
uko,-4.871142
kIi,-5.104755
mie,-5.560836
Ero,-4.424208
rOi,-3.935948
iwA,-4.271429
iwI,-4.268286
eoA,-6.413642
uNi,-4.544358
tEa,-3.015594
Iwi,-4.268286
epu,-5.883688
eha,-4.619077
IkI,-4.294257
uti,-4.106858
koA,-3.041537
imA,-5.890109
enA,-3.971586
iwe,-5.209676
upE,-5.110311
irI,-3.571269
ape,-4.595352
Afu,-7.724407
ErE,-3.901881
etO,-5.138804
IrI,-3.571269
tiU,-4.504504
Otu,-4.730325
ekA,-4.521802
pie,-5.353595
UNu,-5.108765
kOi,-3.073264
oae,-6.320544
Ohe,-4.079601
pUa,-2.731576
epO,-6.088794
OhO,-4.237489
rIi,-5.160001
kOu,-3.484918
eae,-7.29266
orO,-3.434175
uhE,-4.566534
oeo,-7.695335
etE,-4.414575
uNu,-5.108765
Upu,-4.790604
eto,-5.138804
AwI,-4.666032
AkU,-4.203538
ipi,-4.867678
taI,-2.921155
Ano,-4.446257
ume,-4.785641
OkO,-3.876217
uae,-5.624115
onO,-3.882579
emu,-5.568316
ihE,-4.929983
aNu,-4.852574
eaA,-8.610107
Ini,-3.601832
otA,-4.567399
keA,-3.696574
apI,-4.256053
Iro,-4.149757
Imi,-5.743319
pEi,-3.593243
Oio,-5.561405
Onu,-4.620523
Ino,-3.804076
ahE,-3.959004
NAo,-4.810843
Eru,-4.910925
OnI,-4.686479
Etu,-5.161948
afu,-7.724407
rAu,-3.295457
hAo,-3.965879
aie,-5.213068
Ore,-3.579634
aAe,-6.265021
Ani,-4.151542
ahU,-3.640382
ItO,-4.876977
unE,-4.43897
pEa,-3.390257
hAe,-3.118655
Epo,-6.088794
OnE,-4.223456
teU,-5.385271
ENi,-4.448222
OwA,-5.57324
heA,-3.13208
maA,-5.79498
ikE,-4.932453
fEa,-3.279966
pUA,-2.731576
Uru,-3.459465
opE,-5.115265
kaU,-3.036216
opO,-5.035637
ufe,-4.577173
upe,-5.110311
ONa,-4.413595
UkO,-4.871142
eNo,-5.324272
nUmu,-5.43246
Uafu,-10.04552
kApI,-3.884243
pikE,-4.263827
humo,-5.76692
pAfi,-4.738386
Urii,-6.245789
AkiA,-4.4606
meNU,-6.332455
wOpI,-6.111647
UNeo,-8.760439
oupo,-7.389033
UrAA,-6.986347
rIwi,-4.627087
oumi,-6.856288
pAwI,-5.394907
OAno,-6.44738
pefO,-8.428308
OhOi,-5.346392
NAmi,-6.653482
imAI,-6.733755
Aape,-8.870986
OAka,-5.655426
fInA,-4.21753
NikA,-7.123778
AiwE,-6.142154
utOI,-5.420281
eife,-9.18895
upio,-6.830446
wIpu,-6.280409
AanO,-8.674751
wurI,-4.675321
fihE,-6.045966
IrIi,-6.247176
Iwea,-5.759111
ofAO,-7.524617
NOto,-4.91396
OkAI,-4.944505
Iwie,-7.391923
hEha,-5.159234
wuri,-4.675321
OtOI,-5.217787
rAwI,-5.117263
UaNu,-6.818579
NAme,-6.573301
wewE,-4.794011
niNA,-5.353602
wEni,-5.231737
NAiE,-6.232027
ONoe,-7.083948
IrAA,-7.284284
nIno,-5.370131
eIho,-6.654237
witI,-4.608853
NUta,-4.944654
oaiE,-7.727345
aema,-7.396086
AfiU,-4.464223
pIhu,-4.591084
mEri,-4.86563
wEnu,-4.858991
ahEa,-4.487162
nEhE,-4.469006
ehuI,-5.322191
AmAo,-4.848381
iNii,-8.46117
Omou,-5.555511
tImu,-4.53001
uirE,-5.707938
EpEO,-8.373179
NaeA,-5.540149
ApOI,-5.188207
neNu,-6.153436
tuei,-5.997301
apaI,-4.84138
hUku,-3.994193
hOre,-3.522423
Aeni,-7.591909
tukE,-3.650479
etOu,-6.538227
wAiE,-4.783299
tANI,-3.042539
upaI,-5.756681
mini,-4.283347
wEhE,-3.966167
NEni,-6.131883
mAtO,-3.888192
iAfa,-7.308945
ewea,-5.975807
eEtu,-8.596768
Eheu,-5.779936
Aiha,-5.002328
eaNi,-6.432654
UnoA,-6.180781
punE,-4.109384
fEfa,-5.90864
EreU,-7.822528
EtOI,-5.967388
fakI,-2.229625
nInI,-5.167887
ikOi,-5.780039
nEhu,-4.741263
Aanu,-8.402018
tifi,-5.000179
Irui,-6.142261
fouA,-6.640578
uerE,-5.046045
aoku,-6.286766
OAiE,-7.727345
rupo,-5.295312
pOfe,-5.442257
Ataa,-6.270692
uaNI,-5.948335
onoA,-4.993415
wOnE,-5.893937
ikoA,-5.748312
wEtO,-5.050689
rUNU,-5.19272
aepI,-7.875443
haeo,-5.868076
ikou,-6.191694
onOu,-6.078109
tOpE,-4.696422
rIkA,-4.543738
mIra,-4.201233
itUA,-5.265865
upeu,-7.822012
Aniu,-6.000912
nihU,-5.253695
ArIi,-6.025525
aerU,-6.733412
nOhI,-3.877385
Anoa,-5.557094
enio,-7.75029
eiwE,-8.188686
mONO,-5.224725
nOro,-4.720884
puaU,-4.497331
AtaI,-4.5845
nAwI,-5.50463
toAi,-5.771982
ekEa,-4.622889
UkaI,-5.134858
opui,-6.12946
reUa,-7.000109
nIkA,-5.241868
ItOA,-5.975523
oarE,-5.752219
uhai,-5.840066
nOwi,-6.928782
AerI,-6.694199
NUNA,-4.22876
apOI,-5.188207
nAiE,-6.198512
rONU,-5.525983
UkAI,-5.134858
nunE,-5.87525
furi,-4.642612
Nehi,-5.299238
NONU,-6.168031
wifa,-6.990508
mApi,-4.744952
ekoa,-5.713446
uaeA,-6.215475
kIfa,-7.151199
Numo,-6.749273
Ootu,-8.096531
NauI,-5.656237
utEA,-4.964662
rinE,-5.162893
wOue,-7.75148
auhU,-5.01197
umAI,-5.433386
tuAi,-4.710479
howi,-6.931353
uhOu,-5.681054
nAfI,-5.783485
aehi,-6.483113
winE,-4.716812
raNI,-3.555412
OuaU,-7.003974
mEni,-4.797122
kUro,-4.553871
Nipo,-7.745712
UaNe,-7.728689
Urio,-5.555087
mAko,-4.32107
ofEa,-6.386383
wUra,-4.771309
nIrI,-5.325767
itaI,-5.398441
nEri,-5.809635
oera,-6.689561
ONue,-8.798174
NuNA,-4.22876
ONAe,-7.226535
OAke,-6.192455
otEA,-4.913619
AkaU,-4.261508
raNE,-5.335766
hOke,-3.881018
Iheo,-6.928287
uaiE,-7.3693
erIi,-7.547619
aAha,-6.771944
AkUI,-5.293626
fafu,-7.978493
amIi,-8.052025
kOkE,-3.998613
OAkO,-6.446011
kuaA,-8.035462
OotI,-7.471371
eina,-5.830649
fefO,-8.643322
kinI,-3.999353
eNaO,-6.373963
rEro,-4.205083
NoNA,-4.320536
AakI,-6.675826
muNi,-5.670325
nopo,-6.154337
hItU,-4.969692
Nufe,-6.743574
rerI,-4.652587
opOI,-5.739106
kitO,-4.64844
fOno,-6.149318
ANea,-6.72261
Niwe,-7.247124
moeo,-6.239752
hEpi,-5.978921
OAki,-5.842623
Aupu,-4.977068
aoNu,-6.772273
fEre,-3.504766
eEra,-6.728599
orIi,-6.37098
nutE,-5.887496
tItA,-4.303201
anaA,-6.583008
Urowe,-7.423098
Uniko,-6.445557
wIheo,-7.372308
mAhOu,-4.795725
EpakU,-7.367145
eaiAo,-9.932364
iuaiE,-9.895577
aAihi,-8.581201
wOpOI,-7.107437
upawI,-7.962017
pOkAI,-4.691772
tAatO,-5.823228
nEtue,-7.781737
ufafu,-10.89452
eaipU,-8.999554
eikUI,-8.358491
moNue,-8.970645
uNeNi,-7.972317
rOkeA,-5.753358
paaNI,-7.700435
ImEpi,-9.803482
noane,-6.338569
ENaAu,-9.493025
Nouhu,-7.184065
iNonE,-6.952769
afanE,-5.865388
arEhE,-4.927327
unArE,-6.330774
mUmOu,-6.836143
hUtaI,-5.239527
ihEri,-6.759052
kaanE,-6.454571
wureU,-8.900498
OheNu,-6.952592
rOpOI,-5.805074
NukAI,-6.707011
Erewi,-7.613142
pEorI,-6.729019
pAnOu,-6.486166
kOnie,-7.827308
omipu,-7.401974
kINau,-6.075011
OiauE,-9.738702
ONUti,-7.707586
UkahI,-5.561666
amApU,-6.06306
ahekI,-5.752422
fiuiA,-4.985726
UrUta,-5.582104
OtAue,-7.135762
tIfea,-6.616779
pUtio,-5.590101
NunAe,-7.652159
ImuhU,-8.373854
ouaaa,-12.9156
paaiE,-9.721464
apefO,-10.22543
UrApI,-6.015219
awAkU,-6.104032
pupAu,-5.735875
hikIi,-6.714995
IhAmi,-7.278242
rahuI,-4.975811
tAifO,-7.957947
ouomO,-10.49033
oufAi,-9.030829
eiafa,-9.316615
OwiwI,-9.411973
OotoA,-8.853955
tiroA,-4.962051
tIeNU,-8.154511
