item,logprob
anE,-4.017257
Aea,-5.310528
OrA,-3.803654
irE,-4.330488
Eku,-4.704933
atU,-3.936407
hiA,-2.382349
Imo,-6.426585
omO,-4.714615
wAi,-2.852565
IwE,-4.976492
atE,-4.130509
ikU,-4.885364
epA,-5.390303
ANU,-5.110917
awi,-5.037278
peu,-5.20385
ANA,-3.441007
Oru,-4.174759
AhE,-3.90239
NOu,-4.864577
Ure,-3.875919
OhI,-3.587178
aiE,-5.682974
upU,-4.897406
OfI,-5.599383
enu,-4.848804
Opu,-4.954498
iao,-5.64639
Uni,-4.23758
Ihe,-4.835378
Ine,-3.713734
nia,-3.666207
Ahe,-3.90239
une,-4.596065
uaA,-6.962039
huI,-3.246196
Ane,-4.017257
mIi,-5.907274
Ihu,-4.886024
OhE,-4.209859
Oni,-4.412066
ihU,-4.886024
EhE,-4.037304
kAu,-2.916701
Apa,-3.775405
otU,-4.565269
IwA,-4.188686
Awa,-3.35316
etA,-4.664632
reU,-4.968354
oau,-5.937254
ImO,-6.426585
epo,-6.064525
ONU,-6.990694
One,-4.053525
iAu,-6.10287
kaO,-3.315566
Iwe,-4.976492
Aeo,-7.135721
Ofa,-6.204014
UkE,-4.345035
ApU,-3.871613
aii,-6.389051
owA,-5.753194
IkA,-4.684664
Aue,-4.980525
orE,-3.643069
upO,-5.367979
Amo,-4.523453
uno,-5.593222
OpO,-5.396986
enI,-5.164397
nue,-5.655269
epE,-5.883708
feu,-5.449939
Owi,-6.425212
etI,-4.242484
Ire,-4.330488
tOA,-3.613968
AhU,-3.561067
eme,-5.707122
erU,-4.988418
IwI,-4.259628
unO,-5.593222
fAo,-3.536588
oeA,-4.999344
uii,-6.946974
aiO,-4.817207
inE,-3.713734
Ira,-3.859406
upi,-5.76981
epi,-5.977376
OmO,-4.714615
Noa,-3.888074
Oua,-4.980421
ahO,-3.990311
nOi,-4.515507
eNu,-5.922858
tAe,-3.273248
ome,-6.08239
paI,-3.04099
nAi,-4.336075
UpA,-4.880494
eNU,-5.922858
kEa,-3.610273
puA,-2.78054
eaa,-8.063676
opo,-5.396986
AwE,-4.132
awE,-4.132
oNu,-6.990694
auA,-3.789291
ItI,-4.110507
unA,-3.76145
tUa,-2.553832
InI,-3.584338
UrA,-3.646155
ONO,-4.666416
OtI,-3.83696
ofi,-5.599383
Ome,-6.08239
