item,logprob
anE,-3.988993
Aea,-5.266065
OrA,-3.754007
irE,-4.424094
Eku,-4.800429
atU,-3.939325
hiA,-2.399838
Imo,-6.341446
omO,-4.809784
wAi,-2.865548
IwE,-4.852102
atE,-4.118568
ikU,-5.147895
epA,-5.400835
ANU,-5.46723
awi,-4.918089
peu,-5.105378
ANA,-3.743133
Oru,-4.10098
AhE,-3.962247
NOu,-4.878272
Ure,-3.91144
OhI,-3.58253
aiE,-5.615513
upU,-4.876767
OfI,-5.590121
enu,-4.863514
Opu,-4.847286
iao,-5.549793
Uni,-4.127386
Ihe,-4.849305
Ine,-3.760858
nia,-3.598591
Ahe,-3.962247
une,-4.753756
uaA,-6.968302
huI,-3.201838
Ane,-3.988993
mIi,-5.70666
Ihu,-4.833588
OhE,-4.243132
Oni,-4.592903
ihU,-4.833588
EhE,-4.049148
kAu,-2.916005
Apa,-3.881988
otU,-4.513043
IwA,-4.177141
Awa,-3.326845
etA,-4.631678
reU,-4.889507
oau,-5.875165
ImO,-6.341446
epo,-5.950001
ONU,-6.954696
One,-4.011419
iAu,-6.025422
kaO,-3.28809
Iwe,-4.852102
Aeo,-7.000413
Ofa,-6.132525
UkE,-4.440808
ApU,-3.872459
aii,-6.222407
owA,-5.685646
IkA,-4.966422
Aue,-4.968328
orE,-3.603207
upO,-5.276107
Amo,-4.462933
uno,-5.477316
OpO,-5.309524
enI,-5.083187
nue,-5.590097
epE,-5.756225
feu,-5.351108
Owi,-6.305571
etI,-4.196398
Ire,-4.424094
tOA,-3.569907
AhU,-3.611216
eme,-5.597692
erU,-4.885261
IwI,-4.17245
unO,-5.477316
fAo,-3.486173
oeA,-4.926261
uii,-6.736755
aiO,-5.015777
inE,-3.760858
Ira,-3.906108
upi,-5.677685
epi,-6.082799
OmO,-4.809784
Noa,-3.928076
Oua,-4.90232
ahO,-4.016525
nOi,-4.504408
eNu,-6.308301
tAe,-3.254257
ome,-5.98982
paI,-3.018038
nAi,-4.266874
UpA,-4.912766
eNU,-6.308301
kEa,-3.647762
puA,-2.773284
eaa,-7.924483
opo,-5.309524
AwE,-4.026071
awE,-4.026071
oNu,-6.954696
auA,-3.823057
ItI,-4.069012
unA,-3.697901
tUa,-2.577029
InI,-3.589914
UrA,-3.592276
ONO,-4.594695
OtI,-3.767747
ofi,-5.590121
Ome,-5.98982
Awi,-4.918089
ENe,-6.628664
kiO,-4.301325
ItU,-4.931291
aiu,-5.318103
Eka,-4.549957
aNU,-5.46723
pAu,-3.231507
AkE,-3.858271
Eko,-4.832489
irU,-4.746006
ire,-4.424094
uko,-5.038951
kIi,-5.569022
mie,-5.099766
Ero,-4.409683
rOi,-3.810436
iwA,-4.177141
iwI,-4.17245
eoA,-6.296903
uNi,-4.663711
tEa,-2.894694
Iwi,-4.17245
epu,-5.442106
eha,-4.754536
IkI,-4.365442
uti,-3.95691
koA,-3.047086
imA,-5.283955
enA,-4.137328
iwe,-4.852102
upE,-5.201555
irI,-3.500646
ape,-4.614843
Afu,-7.284252
ErE,-3.91583
etO,-5.470703
IrI,-3.500646
tiU,-4.404895
Otu,-4.513043
ekA,-4.549957
pie,-4.993784
UNu,-5.417343
kOi,-3.126115
oae,-6.300954
Ohe,-4.243132
pUa,-2.773284
epO,-5.950001
