item,logprob
anE,-3.937567
Aea,-5.125556
OrA,-3.944361
irE,-4.414285
Eku,-4.744415
atU,-3.776421
hiA,-2.379578
Imo,-6.134602
omO,-4.665685
wAi,-2.849774
IwE,-4.898238
atE,-3.973069
ikU,-5.107823
epA,-5.38704
ANU,-5.529688
awi,-4.738025
peu,-4.894215
ANA,-3.642532
Oru,-4.168556
AhE,-3.852406
NOu,-5.247667
Ure,-3.936318
OhI,-3.545562
aiE,-5.767839
upU,-4.749685
OfI,-5.551625
enu,-4.854203
Opu,-4.681235
iao,-5.66468
Uni,-4.29001
Ihe,-4.763817
Ine,-3.748269
nia,-3.692673
Ahe,-3.852406
une,-4.86001
uaA,-6.807329
huI,-3.173615
Ane,-3.937567
mIi,-5.495429
Ihu,-4.797597
OhE,-4.214298
Oni,-4.746406
ihU,-4.797597
EhE,-4.123149
kAu,-2.879839
Apa,-3.771964
otU,-4.466506
IwA,-4.070691
Awa,-3.228613
etA,-4.65676
reU,-5.028732
oau,-5.709954
ImO,-6.134602
epo,-5.947989
ONU,-6.882486
One,-3.976636
iAu,-5.793731
kaO,-3.390019
Iwe,-4.898238
Aeo,-7.09936
Ofa,-6.279495
UkE,-4.665939
ApU,-3.714845
aii,-6.349683
owA,-5.650584
IkA,-4.930155
Aue,-4.779057
orE,-3.664649
upO,-5.110829
Amo,-4.306664
uno,-5.047419
OpO,-5.188172
enI,-4.927743
nue,-5.413142
epE,-5.631473
feu,-5.273059
Owi,-6.274915
etI,-4.070499
Ire,-4.414285
tOA,-3.621955
AhU,-3.570532
eme,-5.506819
erU,-5.033427
IwI,-4.028704
unO,-5.047419
fAo,-4.672974
oeA,-4.721517
uii,-6.45618
aiO,-5.17713
inE,-3.748269
Ira,-3.890587
upi,-5.570229
epi,-6.046697
OmO,-4.665685
Noa,-4.346697
Oua,-4.746725
ahO,-3.9628
nOi,-4.504748
eNu,-6.303968
tAe,-3.438989
ome,-5.834233
paI,-2.973563
nAi,-4.240259
UpA,-4.848999
eNU,-6.303968
kEa,-3.641957
puA,-2.804192
eaa,-7.651894
opo,-5.188172
AwE,-3.811928
awE,-3.811928
oNu,-6.882486
auA,-3.761796
ItI,-3.959385
unA,-3.541578
tUa,-2.584149
InI,-3.637867
UrA,-3.641113
ONO,-4.451487
OtI,-3.733151
ofi,-5.551625
Ome,-5.834233
Awi,-4.738025
ENe,-6.587209
kiO,-4.25617
ItU,-4.770132
aiu,-5.629268
Eka,-4.495655
aNU,-5.529688
pAu,-3.142621
AkE,-3.861149
Eko,-4.921932
irU,-4.717325
ire,-4.414285
uko,-5.235934
kIi,-5.415267
mie,-4.913585
Ero,-4.333798
rOi,-3.837417
iwA,-4.070691
iwI,-4.028704
eoA,-6.196433
uNi,-4.614232
tEa,-2.802535
Iwi,-4.028704
epu,-5.441861
eha,-4.67991
IkI,-4.266203
uti,-4.049826
koA,-3.196771
imA,-5.20707
enA,-4.101002
iwe,-4.898238
upE,-5.216424
irI,-3.420827
ape,-4.403468
Afu,-7.012811
ErE,-3.811985
etO,-5.405593
IrI,-3.420827
tiU,-4.775603
Otu,-4.466506
ekA,-4.495655
pie,-4.928376
UNu,-5.488752
kOi,-3.062699
oae,-6.216146
Ohe,-4.214298
pUa,-2.804192
epO,-5.947989
OhO,-4.090418
rIi,-4.984253
kOu,-3.485997
eae,-6.623693
orO,-3.547661
uhE,-4.83449
oeo,-7.319118
etE,-4.268081
uNu,-5.488752
Upu,-4.749685
eto,-5.405593
AwI,-4.738025
AkU,-3.877743
ipi,-5.202768
taI,-2.808365
Ano,-4.18956
ume,-4.436663
OkO,-4.097487
uae,-5.779128
onO,-3.600086
emu,-5.877837
ihE,-4.763817
aNu,-5.529688
eaA,-7.651894
Ini,-3.637867
otA,-4.328635
keA,-3.641957
apI,-4.159665
Iro,-4.110924
Imi,-5.151096
pEi,-3.550951
Oio,-6.178603
Onu,-4.577437
Ino,-3.855541
ahE,-3.852406
NAo,-5.50737
Eru,-5.033427
OnI,-4.746406
Etu,-5.128724
afu,-7.012811
rAu,-3.119899
hAo,-3.859694
aie,-5.767839
