item,logprob
anE,-3.93658
Aea,-5.186982
OrA,-3.85323
irE,-4.363385
Eku,-4.641079
atU,-3.814742
hiA,-2.377615
Imo,-6.192173
omO,-4.733205
wAi,-2.837467
IwE,-4.849175
atE,-4.011778
ikU,-5.121613
epA,-5.439954
ANU,-5.409876
awi,-4.810334
peu,-4.814307
ANA,-3.684827
Oru,-4.054498
AhE,-3.890509
NOu,-5.050472
Ure,-3.94137
OhI,-3.576685
aiE,-5.794319
upU,-4.767193
OfI,-5.582872
enu,-4.840943
Opu,-4.753958
iao,-5.519886
Uni,-4.241925
Ihe,-4.764323
Ine,-3.743079
nia,-3.61958
Ahe,-3.890509
une,-4.932238
uaA,-6.898968
huI,-3.198886
Ane,-3.93658
mIi,-5.58499
Ihu,-4.806269
OhE,-4.267359
Oni,-4.792209
ihU,-4.806269
EhE,-4.096289
kAu,-2.896443
Apa,-3.815104
otU,-4.528571
IwA,-4.109358
Awa,-3.279994
etA,-4.675131
reU,-4.814141
oau,-5.776362
ImO,-6.192173
epo,-5.984428
ONU,-6.854372
One,-4.046208
iAu,-5.919563
kaO,-3.330017
Iwe,-4.849175
Aeo,-6.803988
Ofa,-6.139042
UkE,-4.619602
ApU,-3.769339
aii,-6.387044
owA,-5.720642
IkA,-4.911946
Aue,-4.792169
orE,-3.598519
upO,-5.154024
Amo,-4.353726
uno,-5.081939
OpO,-5.229501
enI,-4.95949
nue,-5.405251
epE,-5.693567
feu,-5.200045
Owi,-6.360403
etI,-4.092166
Ire,-4.363385
tOA,-3.639259
AhU,-3.616444
eme,-5.514319
erU,-5.088863
IwI,-4.080009
unO,-5.081939
fAo,-3.617762
oeA,-4.781251
uii,-6.536182
aiO,-5.141282
inE,-3.743079
Ira,-3.842229
upi,-5.593523
epi,-6.061744
OmO,-4.733205
Noa,-4.116858
Oua,-4.781519
ahO,-3.999517
nOi,-4.599017
eNu,-6.275927
tAe,-3.409331
ome,-5.868367
paI,-2.96163
nAi,-4.278517
UpA,-4.847772
eNU,-6.275927
kEa,-3.713825
puA,-2.809273
eaa,-7.729314
opo,-5.229501
AwE,-3.856109
awE,-3.856109
oNu,-6.854372
auA,-3.762292
ItI,-3.991348
unA,-3.598975
tUa,-2.551865
InI,-3.522728
UrA,-3.615158
ONO,-4.521838
OtI,-3.774639
ofi,-5.582872
Ome,-5.868367
Awi,-4.810334
ENe,-6.664824
kiO,-4.263473
ItU,-4.801197
aiu,-5.56172
Eka,-4.401846
aNU,-5.409876
pAu,-3.172871
AkE,-3.867959
Eko,-4.822174
irU,-4.710049
ire,-4.363385
uko,-5.225475
kIi,-5.426212
mie,-4.992264
Ero,-4.365795
rOi,-3.889114
iwA,-4.109358
iwI,-4.080009
eoA,-6.230572
uNi,-4.653166
tEa,-2.840914
Iwi,-4.080009
epu,-5.43223
eha,-4.70731
IkI,-4.308436
uti,-4.097977
koA,-3.040179
imA,-5.231444
enA,-4.120801
iwe,-4.849175
upE,-5.286909
irI,-3.411257
ape,-4.475873
Afu,-7.104584
ErE,-3.846826
etO,-5.34644
IrI,-3.411257
tiU,-4.539324
Otu,-4.528571
ekA,-4.401846
pie,-5.001772
UNu,-5.506878
kOi,-3.103925
oae,-6.257823
Ohe,-4.267359
pUa,-2.809273
epO,-5.984428
OhO,-4.100238
rIi,-4.991814
kOu,-3.427515
eae,-6.66504
orO,-3.505822
uhE,-4.887689
oeo,-7.042617
etE,-4.299291
uNu,-5.506878
Upu,-4.767193
eto,-5.34644
AwI,-4.810334
AkU,-3.922626
ipi,-5.220415
taI,-2.836796
Ano,-4.140872
ume,-4.381417
OkO,-4.104636
uae,-5.834694
onO,-3.612748
emu,-5.654433
ihE,-4.764323
aNu,-5.409876
eaA,-7.729314
Ini,-3.522728
otA,-4.342203
keA,-3.713825
apI,-4.111728
Iro,-3.986981
Imi,-5.186277
pEi,-3.585041
Oio,-6.202803
Onu,-4.561387
Ino,-3.775427
ahE,-3.890509
NAo,-5.276744
Eru,-5.088863
OnI,-4.792209
Etu,-5.193909
afu,-7.104584
rAu,-3.104151
hAo,-3.867018
aie,-5.794319
Ore,-3.598519
aAe,-5.55061
Ani,-4.040209
ahU,-3.616444
ItO,-4.879201
unE,-4.932238
pEa,-3.385854
hAe,-3.200367
Epo,-5.984428
OnE,-4.046208
teU,-4.811175
ENi,-5.035684
OwA,-5.720642
heA,-2.956842
maA,-5.453761
ikE,-4.971899
fEa,-3.278989
pUA,-2.809273
Uru,-3.478103
opE,-5.542407
kaU,-2.896443
opO,-5.229501
ufe,-5.319468
upe,-5.286909
ONa,-4.172441
UkO,-5.225475
eNo,-5.769066
nUmu,-5.508652
Uafu,-9.2801
kApI,-3.873403
pikE,-4.323279
humo,-5.682888
pAfi,-5.355266
Urii,-6.185534
AkiA,-4.28597
meNU,-6.744509
wOpI,-6.045085
UNeo,-8.761885
oupo,-6.973171
UrAA,-7.826024
rIwi,-4.563243
oumi,-7.224176
pAwI,-6.101521
OAno,-6.364117
pefO,-8.319173
OhOi,-5.249914
NAmi,-6.290044
imAI,-6.11719
Aape,-8.283354
OAka,-5.670271
fInA,-3.787832
NikA,-6.629607
AiwE,-6.089076
utOI,-5.51565
eife,-8.640317
upio,-7.914782
wIpu,-5.71501
AanO,-7.92906
wurI,-5.795524
fihE,-5.983992
IrIi,-5.996443
Iwea,-5.408243
ofAO,-7.265316
NOto,-5.366849
OkAI,-5.301555
Iwie,-6.633674
hEha,-5.455711
wuri,-5.795524
OtOI,-5.255093
rAwI,-5.441023
UaNu,-6.81731
NAme,-6.463521
wewE,-5.586947
niNA,-5.008022
wEni,-5.242497
NAiE,-6.695402
ONoe,-6.624863
IrAA,-8.053095
nIno,-5.879396
eIho,-6.434751
witI,-4.401483
NUta,-5.433539
oaiE,-8.379479
aema,-7.255354
AfiU,-4.384853
pIhu,-4.656745
mEri,-4.655051
wEnu,-5.12395
ahEa,-4.308745
nEhE,-4.331122
ehuI,-5.25353
AmAo,-4.802557
iNii,-7.892751
Omou,-5.53656
tImu,-4.839017
uirE,-5.757432
EpEO,-7.979771
NaeA,-6.014021
ApOI,-5.133665
neNu,-6.117889
tuei,-5.366565
apaI,-4.608839
hUku,-4.159806
hOre,-3.477826
Aeni,-7.114161
tukE,-3.727272
etOu,-6.376884
wAiE,-5.381554
tANI,-3.032664
upaI,-5.641507
mini,-4.06871
wEhE,-3.93174
NEni,-5.942094
mAtO,-4.037988
iAfa,-7.277096
ewea,-6.141218
eEtu,-8.139646
Eheu,-5.637282
Aiha,-4.970014
eaNi,-6.826726
UnoA,-6.276042
punE,-4.866718
fEfa,-6.815537
EreU,-6.282658
EtOI,-6.495963
fakI,-2.19361
nInI,-5.626697
ikOi,-5.827367
nEhu,-4.706814
Aanu,-7.830346
tifi,-4.767898
Irui,-6.283037
fouA,-6.476556
uerE,-6.07859
aoku,-6.05362
OAiE,-8.379479
rupo,-5.467925
pOfe,-5.385823
Ataa,-6.11943
uaNI,-5.918563
onoA,-4.80685
wOnE,-5.655328
ikoA,-5.763621
wEtO,-5.185254
rUNU,-5.406688
aepI,-7.724559
haeo,-5.654911
ikou,-6.150957
onOu,-5.457969
tOpE,-4.936233
rIkA,-4.448885
mIra,-4.012153
itUA,-5.221023
upeu,-7.443406
Aniu,-5.446868
nihU,-5.379539
ArIi,-5.87111
aerU,-6.519062
nOhI,-3.740933
Anoa,-5.334975
enio,-7.689547
eiwE,-7.924491
mONO,-5.019865
nOro,-4.520202
puaU,-4.719829
AtaI,-4.379274
nAwI,-5.894499
toAi,-5.741908
ekEa,-4.739907
UkaI,-5.492031
opui,-6.226786
reUa,-5.646291
nIkA,-5.254795
ItOA,-6.148117
oarE,-5.643378
uhai,-5.880306
nOwi,-6.930714
AerI,-6.090485
NUNA,-4.116738
apOI,-5.133665
nAiE,-6.822604
rONU,-6.221879
UkAI,-5.492031
nunE,-6.399293
furi,-5.508372
Nehi,-4.969609
NONU,-7.326935
wifa,-6.57319
mApi,-4.918626
ekoa,-5.65199
uaeA,-6.672232
kIfa,-6.012261
Numo,-6.446675
Ootu,-8.102861
NauI,-5.764491
utEA,-4.865456
rinE,-5.022864
wOue,-7.366276
auhU,-5.215038
umAI,-4.980503
tuAi,-4.695149
howi,-6.823984
uhOu,-5.727131
nAfI,-6.222603
aehi,-5.986005
winE,-5.414828
raNI,-3.419305
OuaU,-6.692075
mEni,-4.715993
kUro,-4.419505
Nipo,-7.238295
UaNe,-7.923131
Urio,-5.552268
mAko,-4.401436
ofEa,-6.38931
wUra,-5.810333
nIrI,-5.085502
itaI,-5.316093
nEri,-5.27285
oera,-6.314911
ONue,-8.974477
NuNA,-4.116738
ONAe,-7.181953
OAke,-6.283869
otEA,-4.839058
AkaU,-4.028346
raNE,-5.423873
hOke,-3.94314
Iheo,-6.534348
uaiE,-7.93766
erIi,-7.245471
aAha,-6.636585
AkUI,-4.999724
fafu,-7.54033
amIi,-7.296813
kOkE,-4.212234
OAkO,-6.397875
kuaA,-6.890634
OotI,-7.348929
eina,-5.676666
fefO,-8.704911
kinI,-4.025443
eNaO,-7.270973
rEro,-4.047035
NoNA,-4.645004
AakI,-5.954762
muNi,-5.317278
nopo,-5.799812
hItU,-4.929406
Nufe,-6.213711
rerI,-4.341527
opOI,-6.003478
kitO,-4.548881
fOno,-5.984975
ANea,-7.210445
Niwe,-7.471427
moeo,-5.834331
hEpi,-6.259169
OAki,-5.750712
Aupu,-4.829436
aoNu,-7.781251
fEre,-3.431044
eEra,-6.971571
orIi,-6.300444
nutE,-5.77958
tItA,-4.346759
anaA,-5.863763
Urowe,-7.280576
Uniko,-6.52741
wIheo,-7.618905
mAhOu,-4.823301
EpakU,-7.180465
eaiAo,-9.055484
iuaiE,-10.13361
aAihi,-7.857502
wOpOI,-6.935406
upawI,-8.781398
pOkAI,-5.101186
tAatO,-6.084209
nEtue,-7.169345
ufafu,-11.40421
eaipU,-8.105945
