item,logprob
anE,-3.596755
Aea,-4.313865
OrA,-3.647199
irE,-3.890521
Eku,-4.376084
atU,-3.646379
hiA,-3.095478
Imo,-5.166548
omO,-4.10523
wAi,-3.161879
IwE,-4.784596
atE,-3.88397
ikU,-4.742216
epA,-4.719784
ANU,-4.446967
awi,-4.570231
peu,-4.180892
ANA,-3.043534
Oru,-3.790526
AhE,-3.748649
NOu,-3.965276
Ure,-3.576678
OhI,-3.264165
aiE,-4.996801
upU,-4.498008
OfI,-5.764329
enu,-4.277483
Opu,-4.506811
iao,-4.742657
Uni,-3.751664
Ihe,-4.149721
Ine,-3.366711
nia,-3.372418
Ahe,-3.748649
une,-3.929703
uaA,-6.450987
huI,-3.611154
Ane,-3.596755
mIi,-5.269436
Ihu,-4.577102
OhE,-3.561844
Oni,-3.971601
ihU,-4.577102
EhE,-3.575898
kAu,-2.641725
Apa,-3.579931
otU,-4.003976
IwA,-3.68419
Awa,-3.331319
etA,-4.131652
reU,-4.169902
oau,-5.197811
ImO,-5.166548
epo,-5.391353
ONU,-6.067138
One,-3.860506
iAu,-5.482642
kaO,-3.272519
Iwe,-4.784596
Aeo,-6.192699
Ofa,-5.649152
UkE,-3.481645
ApU,-3.591721
aii,-5.757088
owA,-6.224276
IkA,-3.905641
Aue,-5.061749
orE,-3.326166
upO,-5.086947
Amo,-4.135966
uno,-4.929746
OpO,-4.496617
enI,-4.126406
nue,-5.014425
epE,-5.003101
feu,-4.329779
Owi,-6.885202
etI,-3.708435
Ire,-3.890521
tOA,-3.343437
AhU,-3.255568
eme,-4.762666
erU,-4.106084
IwI,-3.950154
unO,-4.929746
fAo,-3.322116
oeA,-4.525621
uii,-6.43919
aiO,-4.296895
inE,-3.366711
Ira,-3.731435
upi,-5.03456
epi,-5.151783
OmO,-4.10523
Noa,-3.945597
Oua,-4.412511
ahO,-4.009641
nOi,-3.489267
eNu,-4.845687
tAe,-3.190842
ome,-4.378264
paI,-3.062727
nAi,-3.768091
UpA,-4.863844
eNU,-4.845687
kEa,-3.070897
puA,-2.631219
eaa,-7.306698
opo,-4.496617
AwE,-3.659781
awE,-3.659781
oNu,-6.067138
auA,-3.489721
ItI,-3.455286
unA,-3.420162
tUa,-2.826597
InI,-3.234164
UrA,-3.643953
ONO,-4.815132
OtI,-3.693034
ofi,-5.764329
Ome,-4.378264
Awi,-4.570231
ENe,-5.01457
kiO,-3.648668
ItU,-4.421845
aiu,-4.650448
Eka,-3.830092
aNU,-4.446967
pAu,-3.317011
AkE,-3.448438
Eko,-4.203984
irU,-5.001489
ire,-3.890521
uko,-4.340374
kIi,-5.054139
mie,-4.509148
Ero,-4.066433
rOi,-3.255563
iwA,-3.68419
iwI,-3.950154
eoA,-5.824497
uNi,-5.857023
tEa,-3.015415
Iwi,-3.950154
epu,-4.910002
eha,-3.892632
IkI,-3.565058
uti,-4.077686
koA,-3.354114
imA,-4.973609
enA,-3.82484
iwe,-4.784596
upE,-4.888465
irI,-3.311785
ape,-4.143547
Afu,-4.96914
ErE,-3.420635
etO,-4.795638
IrI,-3.311785
tiU,-4.03397
Otu,-4.003976
ekA,-3.830092
pie,-4.718905
UNu,-6.508072
kOi,-3.307544
oae,-5.489076
Ohe,-3.561844
pUa,-2.631219
epO,-5.391353
OhO,-3.611205
rIi,-5.152685
kOu,-3.15048
eae,-6.245693
orO,-3.302182
uhE,-4.465378
oeo,-6.321586
etE,-4.034774
uNu,-6.508072
Upu,-4.498008
eto,-4.795638
AwI,-4.570231
AkU,-3.599012
ipi,-4.555213
taI,-2.784727
Ano,-3.839674
ume,-3.973812
OkO,-3.564146
uae,-4.633579
onO,-3.765081
emu,-4.822831
ihE,-4.149721
aNu,-4.446967
eaA,-7.306698
Ini,-3.234164
otA,-3.844086
keA,-3.070897
apI,-3.673528
Iro,-3.801317
Imi,-4.791711
pEi,-3.24067
Oio,-5.781447
Onu,-4.02199
Ino,-3.74845
ahE,-3.748649
NAo,-4.244953
Eru,-4.106084
OnI,-3.971601
Etu,-4.295628
afu,-4.96914
rAu,-3.049565
hAo,-3.322274
aie,-4.996801
Ore,-3.326166
aAe,-6.550076
Ani,-3.461873
ahU,-3.255568
ItO,-4.387326
unE,-3.929703
pEa,-3.238912
hAe,-3.226757
Epo,-5.391353
OnE,-3.860506
teU,-4.041525
ENi,-3.976419
OwA,-6.224276
heA,-3.025485
maA,-4.702994
ikE,-4.208471
fEa,-3.067859
pUA,-2.631219
Uru,-3.162527
opE,-4.193579
kaU,-2.641725
opO,-4.496617
ufe,-4.3407
upe,-4.888465
ONa,-4.009985
UkO,-4.340374
eNo,-4.421774
nUmu,-4.401156
Uafu,-7.868513
kApI,-3.581211
