item,logprob
anE,-3.53242
Aea,-4.340409
OrA,-3.627697
irE,-3.997505
Eku,-4.434512
atU,-3.648664
hiA,-3.095911
Imo,-5.297885
omO,-4.159809
wAi,-3.258659
IwE,-4.853214
atE,-3.739994
ikU,-4.840319
epA,-4.766859
ANU,-4.222321
awi,-4.700317
peu,-4.176146
ANA,-3.000579
Oru,-3.723327
AhE,-3.756592
NOu,-4.119763
Ure,-3.664527
OhI,-3.279154
aiE,-4.447013
upU,-4.588068
OfI,-5.920893
enu,-4.108485
Opu,-4.616556
iao,-4.862113
Uni,-3.718746
Ihe,-4.259091
Ine,-3.430675
nia,-3.419773
Ahe,-3.756592
une,-3.930752
uaA,-6.593509
huI,-3.671073
Ane,-3.53242
mIi,-5.369943
Ihu,-4.664318
OhE,-3.646337
Oni,-4.03452
ihU,-4.664318
EhE,-3.539516
kAu,-2.698722
Apa,-3.633071
otU,-4.046558
IwA,-3.707753
Awa,-3.318192
etA,-4.036783
reU,-4.324459
oau,-5.328292
ImO,-5.297885
epo,-5.508506
ONU,-5.4504
One,-3.955477
iAu,-5.679185
kaO,-3.213198
Iwe,-4.853214
Aeo,-6.268804
Ofa,-5.706997
UkE,-3.531368
ApU,-3.673547
aii,-5.884482
owA,-6.297264
IkA,-3.936161
Aue,-4.932137
orE,-3.323572
upO,-5.200029
Amo,-4.132846
uno,-4.904035
OpO,-4.486013
enI,-4.216216
nue,-5.177955
epE,-4.943483
feu,-4.342019
Owi,-7.024039
etI,-3.625429
Ire,-3.997505
tOA,-3.373383
AhU,-3.255086
eme,-4.855959
erU,-4.021317
IwI,-4.040342
unO,-4.904035
fAo,-3.392576
oeA,-4.357283
uii,-6.54125
aiO,-4.246583
inE,-3.430675
Ira,-3.7255
upi,-4.902618
epi,-5.250637
OmO,-4.159809
Noa,-4.029192
Oua,-4.401922
ahO,-3.985216
nOi,-3.494318
eNu,-4.881418
tAe,-3.254682
ome,-4.429243
paI,-3.027508
nAi,-3.71399
UpA,-4.960609
eNU,-4.881418
kEa,-2.985759
puA,-2.587028
eaa,-7.454655
opo,-4.486013
AwE,-3.753076
awE,-3.753076
oNu,-5.4504
auA,-3.415721
ItI,-3.542123
unA,-3.341238
tUa,-2.730928
InI,-3.300465
UrA,-3.727803
ONO,-4.781756
OtI,-3.711577
ofi,-5.920893
Ome,-4.429243
Awi,-4.700317
ENe,-4.305728
kiO,-3.654742
ItU,-4.446235
aiu,-4.77163
Eka,-3.876537
aNU,-4.222321
pAu,-3.365574
AkE,-3.450558
Eko,-4.303252
irU,-4.590116
ire,-3.997505
uko,-4.453459
kIi,-5.187446
mie,-4.598353
Ero,-4.020628
rOi,-3.192371
iwA,-3.707753
iwI,-4.040342
eoA,-5.730362
uNi,-5.298326
tEa,-2.861892
Iwi,-4.040342
epu,-5.014065
eha,-3.868695
IkI,-3.579615
uti,-3.942583
koA,-3.360523
imA,-5.138367
enA,-3.890467
iwe,-4.853214
upE,-4.901101
irI,-3.385942
ape,-4.150289
Afu,-5.20044
ErE,-3.344949
etO,-4.541455
IrI,-3.385942
tiU,-3.970508
Otu,-4.046558
ekA,-3.876537
pie,-4.794288
UNu,-5.786044
kOi,-3.30904
oae,-5.620374
Ohe,-3.646337
pUa,-2.587028
epO,-5.508506
OhO,-3.619657
rIi,-5.17272
kOu,-3.10687
eae,-6.372521
orO,-3.2221
uhE,-4.229149
oeo,-6.108388
etE,-3.77513
uNu,-5.786044
Upu,-4.588068
eto,-4.541455
AwI,-4.700317
AkU,-3.673088
ipi,-4.679781
taI,-2.790156
Ano,-3.901724
ume,-3.954309
OkO,-3.677034
uae,-4.740358
onO,-3.794734
emu,-4.929606
ihE,-4.259091
aNu,-4.222321
eaA,-7.454655
Ini,-3.300465
otA,-3.850262
keA,-2.985759
apI,-3.766047
Iro,-3.919405
Imi,-4.902908
pEi,-3.267019
Oio,-5.359474
Onu,-3.984175
Ino,-3.766501
ahE,-3.756592
NAo,-4.186492
Eru,-4.021317
OnI,-4.03452
Etu,-4.289821
afu,-5.20044
rAu,-3.074308
hAo,-3.359775
aie,-4.447013
Ore,-3.323572
aAe,-6.668447
Ani,-3.394723
ahU,-3.255086
ItO,-4.347951
unE,-3.930752
pEa,-2.883282
hAe,-3.267967
Epo,-5.508506
OnE,-3.955477
teU,-4.266369
ENi,-4.055174
OwA,-6.297264
heA,-2.940858
maA,-4.787956
ikE,-4.244439
fEa,-3.052835
pUA,-2.587028
Uru,-3.150951
opE,-4.237189
kaU,-2.698722
opO,-4.486013
ufe,-4.396779
upe,-4.901101
ONa,-4.070596
UkO,-4.453459
eNo,-4.600229
nUmu,-4.551915
Uafu,-8.113277
kApI,-3.61941
pikE,-4.223138
humo,-6.393963
pAfi,-4.757744
Urii,-6.612566
AkiA,-4.480788
meNU,-5.59295
wOpI,-5.499987
UNeo,-7.863714
oupo,-6.908252
UrAA,-6.565536
rIwi,-4.927082
oumi,-6.468523
pAwI,-5.469632
OAno,-6.480543
pefO,-7.021858
OhOi,-4.608506
NAmi,-5.684927
imAI,-6.044371
Aape,-7.680265
OAka,-5.408945
fInA,-4.188223
NikA,-5.228325
AiwE,-6.451717
utOI,-5.404456
eife,-8.256915
upio,-6.283479
wIpu,-5.505672
AanO,-7.528617
wurI,-4.141357
fihE,-5.047366
IrIi,-6.458718
Iwea,-5.595927
ofAO,-6.813217
NOto,-4.442594
OkAI,-4.933756
Iwie,-6.240064
hEha,-4.632029
wuri,-4.141357
OtOI,-5.007805
rAwI,-4.9483
UaNu,-6.591948
NAme,-5.396109
wewE,-4.144551
niNA,-4.567731
wEni,-4.205118
NAiE,-5.315459
ONoe,-6.839516
IrAA,-6.563233
nIno,-4.672266
eIho,-6.252355
witI,-3.653504
NUta,-5.141911
oaiE,-6.927105
aema,-7.151826
AfiU,-4.478851
pIhu,-4.88628
mEri,-4.144988
wEnu,-4.097387
ahEa,-4.485592
nEhE,-4.117635
ehuI,-5.159516
AmAo,-4.819804
iNii,-7.202483
Omou,-5.719778
tImu,-4.032387
uirE,-5.793818
EpEO,-6.683592
NaeA,-4.211344
ApOI,-5.148517
neNu,-5.464767
tuei,-5.334555
apaI,-4.738674
hUku,-3.86911
hOre,-3.45051
Aeni,-6.148064
tukE,-3.690096
etOu,-5.467974
wAiE,-4.783924
tANI,-3.823781
upaI,-6.066213
mini,-3.672287
wEhE,-3.664839
NEni,-5.251148
mAtO,-3.690905
iAfa,-7.233889
ewea,-5.645913
eEtu,-7.646531
Eheu,-4.865314
Aiha,-4.574382
eaNi,-7.014805
UnoA,-6.498442
punE,-3.851834
fEfa,-5.210862
EreU,-5.666215
EtOI,-5.618072
fakI,-3.637734
nInI,-4.20623
ikOi,-5.595266
nEhu,-4.280754
Aanu,-7.310869
tifi,-4.310211
Irui,-6.006472
fouA,-6.037348
uerE,-5.676256
aoku,-5.442516
OAiE,-6.927105
rupo,-5.085503
pOfe,-6.48196
Ataa,-5.189818
uaNI,-6.153658
onoA,-5.389141
wOnE,-5.214039
ikoA,-5.646749
wEtO,-4.560385
rUNU,-5.619861
aepI,-7.239015
haeo,-5.533842
ikou,-5.393096
onOu,-5.479712
tOpE,-4.24548
rIkA,-3.9961
mIra,-3.702589
itUA,-5.128142
upeu,-6.711846
Aniu,-5.752743
nihU,-5.003833
ArIi,-6.211339
aerU,-5.865588
nOhI,-3.660523
Anoa,-5.496132
enio,-6.441328
eiwE,-7.96287
mONO,-4.992905
nOro,-4.19161
puaU,-4.820073
AtaI,-4.344725
nAwI,-5.279388
toAi,-5.201867
ekEa,-4.329918
UkaI,-5.046612
opui,-5.640279
reUa,-5.530549
nIkA,-4.336519
ItOA,-5.619178
oarE,-5.459727
uhai,-5.56256
nOwi,-7.383707
AerI,-5.887416
NUNA,-4.520091
apOI,-5.148517
nAiE,-5.239255
rONU,-5.252424
UkAI,-5.046612
nunE,-5.52331
furi,-4.16483
Nehi,-4.876622
NONU,-5.168245
wifa,-5.428637
mApi,-4.205621
ekoa,-5.727104
uaeA,-5.077838
kIfa,-4.893644
Numo,-6.32137
Ootu,-7.385524
NauI,-5.106295
utEA,-4.489377
rinE,-4.300738
wOue,-6.675162
auhU,-5.212633
umAI,-5.025571
tuAi,-5.037521
howi,-6.763335
uhOu,-5.944781
nAfI,-5.770858
aehi,-5.612453
winE,-4.687812
raNI,-3.936421
OuaU,-6.634967
mEni,-4.326352
kUro,-4.865358
Nipo,-6.319404
UaNe,-7.088991
